mode,trial,x0trial,ok_run,pre_max,post_max,mse,wall_s,err,xn0,xp0,Gamma_p,Gamma_n,K_e,R0,sDn,sDp,sDe,gn,gp,ge
free,21,9,1,0.05567215617044141,0.0007208954243349552,1.0300261267157373e-08,27.70967411994934,,0.4286283969239979,0.15300702938920382,8843.625563498312,2.2541261208273883e-09,0.34947985105481594,0.006288281057482575,1.2659350633533197,0.982416220129832,1.0301716612775211,0.041895934704493876,0.9585257994376535,1.0307799569137621
free,21,6,1,0.25821931208315796,0.0007430698670969349,1.786867354207648e-08,30.355445623397827,,0.16665030342303022,0.16068565574851057,2628.243907005802,1.6046543449884686e-10,0.3725664755273863,0.011041864347685525,0.9379115769950456,0.9680792350661117,1.044257359196234,0.8416307402851233,1.0625568575214552,0.9518491607316498
free,21,1,1,0.24590993442419418,0.0018091211771640303,2.161404704086434e-08,28.740840435028076,,0.1264627061864945,0.29332955634319274,0.22918771773237517,1.437926074545177e-10,0.8773228622750212,0.012415511711563753,1.0703184858102768,1.0221454527451708,1.271060109534818,0.38387644299847246,0.9630892684734991,0.7213726263280968
free,21,7,1,0.37368573951537165,0.00046913693330097317,2.5921475021606146e-08,27.725887537002563,,0.45867865115686196,0.47961065493941446,11102.435436806092,3.770869261207498e-08,0.3326514621654695,0.003928329031695039,1.1210920380662068,0.9010861750464942,1.0825374337456,0.49522102261298356,7.226726741464798,1.0083262942598943
free,21,11,1,0.413688627882852,0.0020119289291837816,3.1120079244775044e-08,26.730594873428345,,0.12675443692316088,0.6950867873533427,10.658434756550868,8.370184243164034e-08,0.827502271868012,0.012141415167602414,1.1295763947191135,1.3994360741367704,0.8628250807905329,0.3361323154520826,0.0191770711589297,1.1010688478947608
free,21,5,1,0.2705154997615207,0.002399369964727782,4.171281315681969e-08,30.491889238357544,,0.2616918339445946,0.06971518110752974,1.3449262242725641,1.4114471746915117e-10,1.0342478816398686,0.012712242087043,1.0037918576219573,0.999318058548579,0.9359375767489392,0.9895054884922541,1.0007291300894716,1.0713554784454944
free,21,12,1,0.1256213914507498,0.002274953761677523,4.634914922154426e-08,26.53256392478943,,0.34790341214367315,0.5991650404784058,4789.217970492995,4.406253405880989e-09,0.5458377216599793,0.007310236723241353,0.9257646891439305,1.2542395024567206,0.6814456968259808,3.288079355546161,0.9967649556310687,1.4978194064971475
free,21,10,1,0.22482182863404887,0.0030795927845232995,6.848187881762646e-08,29.94710373878479,,0.2805608946472792,0.49095660721560547,0.29651479200560715,1.756471908358306e-10,1.2340793836892046,0.01129621750742884,0.949248798427234,1.4326432999226704,0.934280057903132,1.5618389306480005,0.0008690447526948658,1.0680860746182654
free,21,4,0,inf,inf,inf,109.25828695297241,"ValueError('INTERNAL: CpuCallback error calling callback: Traceback (most recent call last):\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 784, in _wrapped_callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 223, in _callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 95, in pure_callback_impl\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 70, in __call__\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/equinox/_errors.py"", line 88, in raises\n_EquinoxRuntimeError: The maximum number of solver steps was reached. Try increasing `max_steps`.\n\n\n--------------------\nAn error occurred during the runtime of your JAX program! Unfortunately you do not appear to be using `equinox.filter_jit` (perhaps you are using `jax.jit` instead?) and so further information about the error cannot be displayed. (Probably you are seeing a very large but uninformative error message right now.) Please wrap your program with `equinox.filter_jit`.\n--------------------\n')",0.6283122815707117,0.6512617801871756,,,,,,,,,,
free,21,0,0,inf,inf,inf,113.65198159217834,"ValueError('INTERNAL: CpuCallback error calling callback: Traceback (most recent call last):\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 784, in _wrapped_callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 223, in _callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 95, in pure_callback_impl\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 70, in __call__\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/equinox/_errors.py"", line 88, in raises\n_EquinoxRuntimeError: The maximum number of solver steps was reached. Try increasing `max_steps`.\n\n\n--------------------\nAn error occurred during the runtime of your JAX program! Unfortunately you do not appear to be using `equinox.filter_jit` (perhaps you are using `jax.jit` instead?) and so further information about the error cannot be displayed. (Probably you are seeing a very large but uninformative error message right now.) Please wrap your program with `equinox.filter_jit`.\n--------------------\n')",0.886901592902488,0.8674122284152227,,,,,,,,,,
