mode,trial,x0trial,ok_run,pre_max,post_max,mse,wall_s,err,Gamma_p,Gamma_n,K_e,R0,sDn,sDp,sDe,gn,gp,ge
free,47,14,1,1.950951001183773,0.00039705907452436406,4.573124467097252e-09,330.22605180740356,,14061793.502991376,0.08636195950337153,0.3032269939593192,0.00016566517799272175,0.041041198777970855,0.6929771902242103,1.0259732074194239,1.6014017835161372e-06,0.07174732144714051,1.1911662398810974
free,47,5,1,0.15963978497779507,0.0008233683379987866,2.7502477485460642e-08,334.00717186927795,,74873.65863141385,4.5161379401164215e-09,0.3950760982771496,0.0025570778578667794,2.6752456294875397,0.7062192232332482,1.2055665567991865,0.5142494838441781,4.177808163356744,1.0013068912423932
free,47,8,1,0.5697459109407497,0.0009962735823307867,2.8057624586961524e-08,354.1181366443634,,16713.767882722557,2.1305469823719174e-07,0.45525642077946227,0.003552290711487541,9.563452439375443,0.8358973679830902,1.1369449077375315,0.6264534242898265,2.604038414871969,1.020011875885236
free,47,4,1,0.2614246816726542,0.0011324137427966008,2.933495276318371e-08,443.7688686847687,,6.331531725415063,1.6831031816770255e-10,0.8635849899929702,0.013749906608692193,0.9887395136179932,1.0113839095390242,1.0199818189672043,0.9968172959106759,0.969859155923167,1.0065990849285755
free,47,10,1,0.11192908311480743,0.0005558646549985724,3.056737970739431e-08,523.3568015098572,,18509.054035591937,3.0843743703758167e-09,0.37959487940384784,0.00357828772914711,45715.85563792005,1.1418473219841923,1.6141432732657244,0.12256596784862268,0.9803103621205179,0.8476140227756072
free,47,3,1,0.24379287867475874,0.001748113359893111,3.202502006893716e-08,442.0654544830322,,1.078527231997657,1.5242050502848572e-10,1.038986242762898,0.010446140502891919,2.3091179587034314,1.0003973245067284,0.9556454488629158,0.06933250158883199,0.9995155430107853,1.0454596762526784
free,47,0,1,0.12205870479894365,0.0013633418675969011,3.422937447721726e-08,454.47170209884644,,24.05723283586951,4.288574770851095e-10,0.7953536630392732,0.007234141314529061,0.6111133446146804,2.0344269828402886,1.0091515441075698,5.182000750769439,2.3725345858039883,1.0357558815923278
free,47,15,1,0.21719700746789172,0.0015265000185848976,3.51633711060236e-08,435.0313985347748,,1.8299281926010256,2.1567815439842703e-10,0.9997785829456376,0.011255541695505272,1.2256261283404934,1.1158658302260538,0.97106618445543,0.5417177769333951,0.7402501226887392,1.050981669991545
free,47,1,1,0.2368526877833066,0.0019308114509559715,4.024370838960161e-08,440.49660897254944,,1.2672791468456976,1.810385114504348e-10,1.035197964480432,0.012238734965709255,3.497338972035357,1.0004269749545431,0.9495696532850132,0.018517997726123562,1.0014200991473914,1.0562419672629766
free,47,13,1,0.5725394957896324,0.0007103787016546903,4.7378558605974056e-08,329.4551899433136,,85502.47366346054,2.0315873258005005e-07,0.39008082994769566,0.002226000398104648,3.48001817388899,1.1535527002953387,1.221043423820146,0.07361853493150425,1.0462055377805939,0.9992496869013321
free,47,12,1,0.1242672173613606,0.002868978204499939,8.129348822655197e-08,430.5781307220459,,2.011377185571814,3.555742184857608e-10,1.2138051330558404,0.004988687100466125,0.8880515131386626,3.806784572937983,0.7838727447179674,1.4326566359218615,0.3331407189499927,1.2866553942539973
free,47,11,1,2.1514855490561686,0.005181608892645073,1.77857219364732e-07,1569.820304632187,,3532164.4411256313,7524.917347156296,208.30796252192434,0.0003293299494202829,0.7735064361020103,1.2891184278060286,5.834914347317188,1.8001466717522459,0.8790191005551797,1.643055567002377
