mode,trial,x0trial,ok_run,pre_max,post_max,mse,wall_s,err,xn0,xp0,Gamma_p,Gamma_n,K_e,R0,sDn,sDp,sDe,gn,gp,ge
free,22,2,1,0.47867872249859644,8.083755645849067e-05,3.3290186164752e-09,29.312650442123413,,0.3398182622335366,0.8522237750187134,1.8827829854186344,1.2153115172614988e-07,0.7116513688353213,0.008584098438685078,1.3867267666509364,0.9970039269373617,1.617230059522284,0.001952418144331158,1.1185387094084003,0.7593294884868251
free,22,7,1,0.24108608636629825,0.001806136626919752,2.640390793665678e-08,31.976773023605347,,0.3395081120388513,0.1250274515203335,3.7532964100862207,1.6780777513497776e-10,0.8891458230845819,0.009804933473419777,1.2001611817075797,1.0001995104235428,0.9882095397324995,0.1455551136838194,1.0091247855457441,1.027356174253075
free,22,13,1,0.2665285853107484,0.0026581520834891847,4.5760262606107566e-08,34.02993893623352,,0.2212199289672265,0.17842896569429556,0.6774696320418029,1.3206980423938266e-10,1.1267641241414788,0.011720155630485583,1.0055764764096449,1.0006993756091953,0.9294636469724217,0.9704658782398509,0.9963388508682501,1.0795024500781738
free,22,1,1,1.6068530894590793,0.0004230160092273394,5.169340731884692e-08,27.985636711120605,,0.5528858979368594,0.26811317865107204,64551.42397666556,0.0032295088003390197,0.23902146813563102,0.0029518743583160627,5.388747591771882,1.136775253073798,1.8281784214089019,0.1357172431754594,0.910736266054701,0.802300770147419
free,22,9,1,0.2320784077966742,0.002842931474406285,5.7891451366460705e-08,30.999141693115234,,0.09692534281060067,0.23472519581337536,0.8368448764793897,1.7348710552458392e-10,1.1232263117749484,0.010307655048186747,1.0796230170911072,1.0012202732049331,0.9021226562738773,0.2569920762182233,0.9924055839218622,1.1016316483994482
free,22,11,1,0.008769251669775713,0.0023271932987096733,6.86803385277081e-08,28.703547477722168,,0.17452102661920743,0.5781582547396527,5.102444739417045,1.421932265329845e-09,0.6377439190588284,0.0068860683272832166,1.0267057484031783,1.5033404023291488,0.6299521730325863,0.8214823334798396,0.1980439357934125,0.7680313255877762
free,22,10,1,0.24052601292462583,0.0032866469055470304,7.462361845412238e-08,31.53734254837036,,0.12014500298697507,0.35894519567495786,0.21546594943634387,1.5455081873410797e-10,1.303705672450294,0.013532849489219675,1.06974718010652,1.0202919886486326,0.9025225295592473,0.38222931544821737,0.8739583004789205,1.1018568746967214
free,22,15,1,0.48499754944234574,0.0009162415927104206,8.23274751268927e-08,28.463073015213013,,0.4702420393984377,0.30861324747129704,1308.2936494953751,1.1510025333699073e-07,0.4212747962651565,0.0058312350501757435,1.3148017565387535,1.0835913611821422,1.2654798856598533,0.0900811638655851,0.9580550141711778,0.922137965693336
free,22,8,1,0.26868893198938437,0.0034460581858866135,8.840457760557255e-08,32.44246578216553,,0.24731925072769118,0.12576011866299003,3.674157368551051,1.4228064175314588e-10,1.0803542152350094,0.011815943149614715,0.987264718209481,1.0000866454468555,0.8056076283057497,1.0244216582883603,1.009014289630018,1.2458804802636736
free,22,5,1,0.2682275027532395,0.0036725506042216693,1.0323084387891433e-07,30.47610878944397,,0.27448006594184093,0.10606106386073397,2.5340196081509347,1.358601497263036e-10,1.1383803881292467,0.011205367664753765,1.0141285718911963,1.0003654185277564,0.8016862493869507,0.9494907106264505,1.0052286335812455,1.259304560982475
free,22,12,1,0.19913237352855973,0.003905970688309779,1.1053343721510423e-07,32.67181873321533,,0.050469662951823716,0.31514827491786623,1.241923038013932,2.5508459589190264e-10,1.1958856215757652,0.011304046075042148,1.3975940781705307,1.0037634137070117,0.8093344421078568,0.0021438366375470985,0.910852904605399,1.2252091454492677
free,22,3,0,inf,inf,inf,128.56673765182495,"ValueError('INTERNAL: CpuCallback error calling callback: Traceback (most recent call last):\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 784, in _wrapped_callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 223, in _callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 95, in pure_callback_impl\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 70, in __call__\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/equinox/_errors.py"", line 88, in raises\n_EquinoxRuntimeError: The maximum number of solver steps was reached. Try increasing `max_steps`.\n\n\n--------------------\nAn error occurred during the runtime of your JAX program! Unfortunately you do not appear to be using `equinox.filter_jit` (perhaps you are using `jax.jit` instead?) and so further information about the error cannot be displayed. (Probably you are seeing a very large but uninformative error message right now.) Please wrap your program with `equinox.filter_jit`.\n--------------------\n')",0.9015022974253342,0.7002853820123547,,,,,,,,,,
