mode,trial,x0trial,ok_run,pre_max,post_max,mse,wall_s,err,Gamma_p,Gamma_n,K_e,R0,sDn,sDp,sDe,gn,gp,ge
free,46,10,1,0.14444057666961996,0.0005771978021620328,4.4222247794551815e-09,167.6850974559784,,2153.881295116608,5.917544078856512e-10,0.40248702865263986,0.008751457204850157,14.462833874629398,1.2292439847775336,0.920574992236944,0.000904874296338333,0.08962755094023031,0.8848840928591023
free,46,2,1,0.26730722163405574,0.0006499547202878375,9.176309148582385e-09,309.7518045902252,,3551.1210599184083,2.071411951514583e-10,0.3693678105941808,0.010668820354782156,2.4962720451269385,4.148810407180741,0.9132003251188093,0.09786800905262459,0.0011676873648158502,0.8554829421103354
free,46,15,1,0.4856137450944491,0.0008471659389250874,1.3013555137530305e-08,124.62565755844116,,19218.979905857363,1.5797633946213927e-07,0.3598652898272871,0.004594846223468404,6.334994472923419,11.955450678134543,0.7465066107543024,0.007723185659662385,6.973199235191569e-05,1.0121683634814158
free,46,11,1,0.2532504532106259,0.0005535918293393394,1.524458473773189e-08,169.39030575752258,,2037.3157547743976,2.593101987699502e-10,0.3829455614527855,0.01217971686865938,3.4313076739929627,0.6821845885834051,0.9818146869539695,0.05509918402887165,1.7978421701624279,0.836803701295898
free,46,5,1,0.2509400453581492,0.0011090956990784662,1.9908766014404614e-08,171.37829113006592,,14.956498664431276,2.2427743090356966e-10,0.7368594823704422,0.009600857366874542,3.1695301663842774,0.9527241931827195,0.945569533523351,0.04220072889232702,1.0131845329618159,0.9733736735214508
free,46,12,1,0.3575102569395341,0.0011219679494338664,2.4645348525337985e-08,146.94921946525574,,1284.6854057575074,4.455522189425831e-08,0.29290996558057647,0.0031098531086131576,70.20253551848349,0.9000987397085789,2.0947843112866176,0.06316284951817372,0.9305180899229469,0.6032819792311405
free,46,0,1,2.08466864826984,0.00266268994007568,3.502754495990087e-08,1293.4527909755707,,490023257856.93365,0.442374966778162,9.196513780304453,6.013302366200623e-07,1.5115591149513197,0.7111068247952326,12.318072596758439,0.6718092004832638,0.7367221840525635,89.3509769222415
free,46,3,1,2.109833622114035,0.001352139401978647,4.468388134132907e-08,1233.8668766021729,,3605181454.6145725,1.2304432071600857,66.86803838900869,8.022478878868584e-06,1.2992211808050285,0.8690022976870689,32.52168274913751,0.9425577911227715,0.4577237789975463,34.13762728630459
free,46,7,1,1.23438272420446,0.00044701907868827107,4.645853676570671e-08,131.7536551952362,,11.06394648946933,0.0001673574915788458,0.6450383686398604,0.005111843823195921,4.508697953850838,0.9951877935283531,1.2765682078725427,0.14228406659588733,0.5995838316023974,0.8181828471441689
free,46,6,1,2.0948334846751884,0.0024524682100270923,4.7308435224744786e-08,1144.4816904067993,,304163203.80808127,0.9976341686909731,47.54594882457584,3.0122857936891232e-05,1.2750416138392648,0.7524393088023719,53.11114580092574,0.9153374800401539,0.8129939524598593,69.77819185559805
free,46,1,1,0.29709322294826634,0.0011303178341250941,4.812135931043865e-08,172.88869285583496,,84.55201546201435,1.7294818013938745e-10,0.5802995622058571,0.012431302990707981,1.4109937293169978,0.9182138485973401,0.9802881967376631,0.5209137526367995,1.0320070840033977,0.9146054547227936
free,46,13,1,2.039127143578739,0.004120051718084383,5.481529855398632e-07,1339.26056432724,,71116783.50365406,69.0599310274829,8.921116816522638,6.463036389326819e-05,1094.707383984622,0.5662206068653319,6.371464244782904,0.00034187862792316886,1.5260249181892656,25.93504399251198
free,46,4,0,inf,inf,inf,201.81687378883362,"ValueError('INTERNAL: CpuCallback error calling callback: Traceback (most recent call last):\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 784, in _wrapped_callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 223, in _callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 95, in pure_callback_impl\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 70, in __call__\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/equinox/_errors.py"", line 88, in raises\n_EquinoxRuntimeError: The maximum number of solver steps was reached. Try increasing `max_steps`.\n\n\n--------------------\nAn error occurred during the runtime of your JAX program! Unfortunately you do not appear to be using `equinox.filter_jit` (perhaps you are using `jax.jit` instead?) and so further information about the error cannot be displayed. (Probably you are seeing a very large but uninformative error message right now.) Please wrap your program with `equinox.filter_jit`.\n--------------------\n')",,,,,,,,,,
free,46,9,0,inf,inf,inf,265.80306696891785,"ValueError('INTERNAL: CpuCallback error calling callback: Traceback (most recent call last):\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 784, in _wrapped_callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 223, in _callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 95, in pure_callback_impl\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 70, in __call__\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/equinox/_errors.py"", line 88, in raises\n_EquinoxRuntimeError: The maximum number of solver steps was reached. Try increasing `max_steps`.\n\n\n--------------------\nAn error occurred during the runtime of your JAX program! Unfortunately you do not appear to be using `equinox.filter_jit` (perhaps you are using `jax.jit` instead?) and so further information about the error cannot be displayed. (Probably you are seeing a very large but uninformative error message right now.) Please wrap your program with `equinox.filter_jit`.\n--------------------\n')",,,,,,,,,,
