control/mA,Ewe/V
-0.08,-6.564379
-0.08,-6.606533
-0.08,-6.6495266
-0.08,-6.6885123
-0.08,-6.7275367
-0.08,-6.764519
-0.08,-6.738185
-0.08,-6.7584505
-0.08,-6.781636
-0.08,-6.8088675
0.08,-5.597054
0.08,-4.5929055
0.08,-3.5740736
0.08,-2.5737762
0.08,-1.5734694
0.08,-0.573344
0.08,0.4274936
0.08,0.8581334
0.08,1.0777183
0.08,1.1488968
0.08,1.2032063
0.08,1.2653205
0.08,1.3407164
0.08,1.4353476
0.08,1.5549772
0.08,1.7108066
0.08,1.8959854
0.08,2.0801337
0.08,2.2467043
0.08,2.387573
0.08,2.526667
0.08,2.6751878
0.08,2.83741
0.08,3.0206423
0.08,3.2141793
0.08,3.425425
0.08,3.6305451
0.08,3.8278034
0.08,4.008555
0.08,4.175128
0.08,4.3365955
0.08,4.4905357
0.08,4.6355267
0.08,4.783265
0.08,4.907856
0.08,5.0058455
0.08,5.099351
0.08,5.1784873
0.08,5.2502
0.08,5.3142796
0.08,5.3757644
0.08,5.4328218
0.08,5.48404
0.08,5.5264225
0.08,5.5628324
0.08,5.5926585
0.08,5.619317
0.08,5.641682
0.08,5.6574254
0.08,5.6778436
0.08,5.6938925
0.08,5.7087197
0.08,5.7227454
0.08,5.7360845
0.08,5.74824
0.08,5.758678
0.08,5.769231
0.08,5.7787533
0.08,5.7887716
0.08,5.799038
0.08,5.807816
0.08,5.816594
0.08,5.8242846
0.08,5.8328147
0.08,5.841001
0.08,5.8450465
