control/mA,Ewe/V
-0.01,-0.5086665
-0.01,-0.5109946
-0.01,-0.51353264
-0.01,-0.51603246
-0.01,-0.51824605
-0.01,-0.520536
-0.01,-0.5228068
-0.01,-0.525154
-0.01,-0.527463
-0.01,-0.52954304
0.01,-0.27655563
0.01,0.19903524
0.01,0.24437578
0.01,0.2728663
0.01,0.29433435
0.01,0.31202403
0.01,0.32704213
0.01,0.34055272
0.01,0.3524794
0.01,0.36347106
0.01,0.37305057
0.01,0.3824202
0.01,0.39062577
0.01,0.39862144
0.01,0.40621635
0.01,0.4132388
0.01,0.41976508
0.01,0.42617688
0.01,0.43226427
0.01,0.43825623
0.01,0.44367573
0.01,0.44919065
0.01,0.45438114
0.01,0.45920908
0.01,0.46413243
0.01,0.46888402
0.01,0.4733303
0.01,0.47800556
0.01,0.48216558
0.01,0.4863447
0.01,0.49060014
0.01,0.49458843
0.01,0.4985004
0.01,0.50189716
0.01,0.50552285
0.01,0.50949204
0.01,0.5130605
0.01,0.516629
0.01,0.51996845
0.01,0.52340335
0.01,0.52641845
0.01,0.52956706
0.01,0.5329829
0.01,0.53569263
0.01,0.5386314
0.01,0.5415892
0.01,0.544547
0.01,0.5475239
0.01,0.5505199
0.01,0.5530579
0.01,0.5559776
0.01,0.5584965
0.01,0.56124437
0.01,0.5640114
0.01,0.56614864
0.01,0.56845766
0.01,0.5709957
0.01,0.57341915
0.01,0.57555646
0.01,0.5779036
0.01,0.5802508
