control/mA,Ewe/V
-0.02,-1.9653269
-0.02,-2.0058777
-0.02,-2.0486994
-0.02,-2.0909677
-0.02,-2.1300108
-0.02,-2.1688824
-0.02,-2.2013671
-0.02,-2.235201
-0.02,-2.2669926
-0.02,-2.2803504
0.02,-1.5708913
0.02,-0.5707869
0.02,0.39011055
0.02,0.4761736
0.02,0.5136521
0.02,0.5407114
0.02,0.5643358
0.02,0.58746403
0.02,0.61032516
0.02,0.634751
0.02,0.6603028
0.02,0.6871522
0.02,0.7150511
0.02,0.74419045
0.02,0.7720703
0.02,0.79828995
0.02,0.8221815
0.02,0.84469914
0.02,0.86645347
0.02,0.8881505
0.02,0.9104009
0.02,0.93368185
0.02,0.9598443
0.02,0.9870753
0.02,1.0166154
0.02,1.047663
0.02,1.0804471
0.02,1.1164562
0.02,1.1554232
0.02,1.1947716
0.02,1.2377269
0.02,1.2826285
0.02,1.3314803
0.02,1.3830609
0.02,1.4396985
0.02,1.4986259
0.02,1.5599387
0.02,1.6261939
0.02,1.6934605
0.02,1.7645245
0.02,1.8369817
0.02,1.9119004
0.02,1.986094
0.02,2.0574825
0.02,2.1271727
0.02,2.1899357
0.02,2.2511125
0.02,2.306815
0.02,2.3591208
0.02,2.4124188
0.02,2.4585035
0.02,2.510332
0.02,2.555711
0.02,2.6024444
0.02,2.6476896
0.02,2.6927059
0.02,2.735623
0.02,2.767987
0.02,2.8177738
0.02,2.847085
0.02,2.899639
0.02,2.9366975
