control/mA,Ewe/V
-0.08,-6.637218
-0.08,-6.6961265
-0.08,-6.7470202
-0.08,-6.793868
-0.08,-6.840411
-0.08,-6.885809
-0.08,-6.9326186
-0.08,-6.9784746
-0.08,-7.0223837
-0.08,-7.0537367
0.08,-5.896431
0.08,-4.783313
0.08,-3.7566433
0.08,-2.7553866
0.08,-1.7553277
0.08,-0.7553168
0.08,0.24475744
0.08,0.6746912
0.08,0.9330712
0.08,1.0491514
0.08,1.1232497
0.08,1.1917757
0.08,1.2679921
0.08,1.3628523
0.08,1.4723108
0.08,1.6178356
0.08,1.7991978
0.08,1.9934409
0.08,2.1707003
0.08,2.3189898
0.08,2.4498591
0.08,2.5819116
0.08,2.72965
0.08,2.8961658
0.08,3.0744557
0.08,3.2642715
0.08,3.4659758
0.08,3.6610012
0.08,3.8441
0.08,4.0132875
0.08,4.1708727
0.08,4.325394
0.08,4.4796014
0.08,4.6269393
0.08,4.765518
0.08,4.8860064
0.08,4.985217
0.08,5.0696964
0.08,5.145512
0.08,5.214878
0.08,5.277164
0.08,5.3356333
0.08,5.39042
0.08,5.438298
0.08,5.481635
0.08,5.5191135
0.08,5.5520124
0.08,5.578022
0.08,5.6011887
0.08,5.6222367
0.08,5.640709
0.08,5.6576734
0.08,5.67231
0.08,5.6862593
0.08,5.6989684
0.08,5.7104177
0.08,5.7204175
0.08,5.730169
0.08,5.739195
0.08,5.7478776
0.08,5.756102
0.08,5.7640214
0.08,5.769956
0.08,5.777532
0.08,5.78257
0.08,5.787016
