control/mA,Ewe/V
-0.01,-0.47198957
-0.01,-0.4742795
-0.01,-0.47643584
-0.01,-0.4788212
-0.01,-0.48107293
-0.01,-0.48315296
-0.01,-0.48515666
-0.01,-0.48704582
-0.01,-0.48920217
-0.01,-0.49118677
0.01,-0.24465413
0.01,0.20483638
0.01,0.24872665
0.01,0.2763966
0.01,0.29818907
0.01,0.315936
0.01,0.33122125
0.01,0.3444456
0.01,0.35606697
0.01,0.36644796
0.01,0.37608474
0.01,0.38514903
0.01,0.39308745
0.01,0.40068236
0.01,0.4077239
0.01,0.4144601
0.01,0.42087188
0.01,0.42686385
0.01,0.43270317
0.01,0.43816084
0.01,0.44354215
0.01,0.44859907
0.01,0.45350334
0.01,0.45800686
0.01,0.46252945
0.01,0.467033
0.01,0.47128844
0.01,0.4752767
0.01,0.47953218
0.01,0.48352045
0.01,0.48693627
0.01,0.4907719
0.01,0.4940732
0.01,0.49758443
0.01,0.5010002
0.01,0.5044542
0.01,0.5077555
0.01,0.5109996
0.01,0.51380473
0.01,0.51680076
0.01,0.5196059
0.01,0.5225065
0.01,0.5254452
0.01,0.5283076
0.01,0.5310937
0.01,0.53399426
0.01,0.53679943
0.01,0.5393565
0.01,0.5416846
0.01,0.5440509
0.01,0.5467797
0.01,0.5492986
0.01,0.5516076
0.01,0.55389756
0.01,0.5558249
0.01,0.55821025
0.01,0.56008035
0.01,0.5624848
0.01,0.56439304
0.01,0.566454
0.01,0.56828594
