control/mA,Ewe/V
-0.04,-4.143893
-0.04,-4.214051
-0.04,-4.274905
-0.04,-4.3277645
-0.04,-4.3735437
-0.04,-4.4136558
-0.04,-4.449302
-0.04,-4.480865
-0.04,-4.5114737
-0.04,-4.535041
0.04,-3.8520896
0.04,-2.8515825
0.04,-1.8515335
0.04,-0.8513792
0.04,0.14866984
0.04,0.711788
0.04,0.8401765
0.04,0.9220414
0.04,0.99886847
0.04,1.0838057
0.04,1.1724259
0.04,1.2638702
0.04,1.3636729
0.04,1.4718337
0.04,1.5987338
0.04,1.7399077
0.04,1.8795551
0.04,1.9856932
0.04,2.0591235
0.04,2.112479
0.04,2.1529534
0.04,2.1885808
0.04,2.2261143
0.04,2.2582114
0.04,2.2954416
0.04,2.330096
0.04,2.3670783
0.04,2.4061406
0.04,2.4485805
0.04,2.4952378
0.04,2.5456352
0.04,2.6010897
0.04,2.6621354
0.04,2.7277226
0.04,2.7983096
0.04,2.871339
0.04,2.9178057
