control/mA,Ewe/V
-0.02,-2.2464216
-0.02,-2.2811139
-0.02,-2.3142986
-0.02,-2.3453462
-0.02,-2.3748481
-0.02,-2.402518
-0.02,-2.4297874
-0.02,-2.4552054
-0.02,-2.4807
-0.02,-2.4919207
0.02,-1.7597353
0.02,-0.75964856
0.02,0.24042566
0.02,0.39772454
0.02,0.470964
0.02,0.51821285
0.02,0.5490887
0.02,0.575232
0.02,0.60042125
0.02,0.6268508
0.02,0.6544253
0.02,0.683183
0.02,0.7127612
0.02,0.74361795
0.02,0.77399766
0.02,0.8027935
0.02,0.82989097
0.02,0.85500383
0.02,0.8795633
0.02,0.9033022
0.02,0.92797613
0.02,0.9528409
0.02,0.98018646
0.02,1.0075892
0.02,1.0389422
0.02,1.0749131
0.02,1.1091857
0.02,1.1449467
0.02,1.1871195
0.02,1.2274413
0.02,1.2749764
0.02,1.320126
0.02,1.3722792
0.02,1.4241842
0.02,1.483436
0.02,1.5451877
0.02,1.6108514
0.02,1.6802742
0.02,1.752178
0.02,1.8267914
0.02,1.9030269
0.02,1.9800447
0.02,2.0528073
0.02,2.1241765
0.02,2.1887336
0.02,2.2490897
0.02,2.3057845
0.02,2.359445
0.02,2.4102242
0.02,2.4586563
0.02,2.506153
0.02,2.5542417
0.02,2.5987806
0.02,2.6422892
0.02,2.6879542
0.02,2.7309284
0.02,2.773483
0.02,2.8152359
0.02,2.8590307
0.02,2.90128
0.02,2.9436436
0.02,2.9844615
