control/mA,Ewe/V
-0.08,-5.050141
-0.08,-5.0811124
-0.08,-5.110824
-0.08,-5.139868
-0.08,-5.1660304
-0.08,-5.1928225
-0.08,-5.2192903
-0.08,-5.2435822
-0.08,-5.265909
-0.08,-5.2727027
0.08,-4.4958105
0.08,-3.494346
0.08,-2.4942205
0.08,-1.4941425
0.08,-0.49405527
0.08,0.5059618
0.08,0.96085566
0.08,1.0858856
0.08,1.1975197
0.08,1.3199735
0.08,1.4462247
0.08,1.5886772
0.08,1.7559755
0.08,1.9122438
0.08,2.0134206
0.08,2.0806108
0.08,2.129825
0.08,2.167437
0.08,2.20186
0.08,2.2368386
0.08,2.2746224
0.08,2.3171577
0.08,2.366105
0.08,2.4230478
0.08,2.4874902
0.08,2.5628479
0.08,2.6507428
0.08,2.7456794
0.08,2.848688
0.08,2.9551313
0.08,3.0663455
0.08,3.186681
0.08,3.31007
0.08,3.435348
0.08,3.5611987
0.08,3.6883469
0.08,3.826143
0.08,3.9716299
0.08,4.1161814
0.08,4.249445
0.08,4.3667274
0.08,4.46653
0.08,4.543338
0.08,4.6071696
0.08,4.66104
0.08,4.707888
0.08,4.752179
0.08,4.7926345
0.08,4.8308764
0.08,4.868946
0.08,4.9068065
0.08,4.9465556
0.08,4.9838815
0.08,5.0226
0.08,5.059888
0.08,5.0956683
0.08,5.1275554
0.08,5.1615987
0.08,5.1941924
0.08,5.2251444
0.08,5.255123
0.08,5.2833276
0.08,5.3109403
0.08,5.3393545
0.08,5.3468347
