control/mA,Ewe/V
-0.08,-5.2750306
-0.08,-5.3109446
-0.08,-5.344091
-0.08,-5.371895
-0.08,-5.390252
-0.08,-5.4080944
-0.08,-5.4232464
-0.08,-5.432215
-0.08,-5.445382
-0.08,-5.4546757
0.08,-4.653475
0.08,-3.6534576
0.08,-2.6533895
0.08,-1.6533496
0.08,-0.65320516
0.08,0.34681183
0.08,0.86311394
0.08,1.0041926
0.08,1.0826607
0.08,1.1665293
0.08,1.264977
0.08,1.378233
0.08,1.5108006
0.08,1.676534
0.08,1.8658729
0.08,2.0154052
0.08,2.106506
0.08,2.1732192
0.08,2.2321444
0.08,2.2914152
0.08,2.3549035
0.08,2.4289253
0.08,2.5171256
0.08,2.6206875
0.08,2.7429507
0.08,2.8778272
0.08,3.0206804
0.08,3.162179
0.08,3.310528
0.08,3.462102
0.08,3.6094015
0.08,3.7476177
0.08,3.8782961
0.08,4.004624
0.08,4.137249
0.08,4.271123
0.08,4.409587
0.08,4.544044
0.08,4.663273
0.08,4.766491
0.08,4.8509893
0.08,4.9190764
0.08,4.97705
0.08,5.0293555
0.08,5.0761085
0.08,5.1183386
0.08,5.160015
0.08,5.199478
0.08,5.2373953
0.08,5.272069
0.08,5.3020096
0.08,5.325863
0.08,5.344774
0.08,5.3605933
0.08,5.374085
0.08,5.3857064
0.08,5.3953815
0.08,5.404064
0.08,5.4118114
0.08,5.419063
0.08,5.4251695
0.08,5.4302263
0.08,5.434921
0.08,5.4390235
0.08,5.440283
