control/mA,Ewe/V
-0.02,-1.3313608
-0.02,-1.3530579
-0.02,-1.3748312
-0.02,-1.3991617
-0.02,-1.4263164
-0.02,-1.4517537
-0.02,-1.4761415
-0.02,-1.5029526
-0.02,-1.5305462
-0.02,-1.5381984
0.02,-0.85783637
0.02,0.14216873
0.02,0.4889972
0.02,0.53347903
0.02,0.5611108
0.02,0.5839147
0.02,0.6052873
0.02,0.62622106
0.02,0.64810896
0.02,0.66866106
0.02,0.688488
0.02,0.7075516
0.02,0.7261764
0.02,0.7441523
0.02,0.7612886
0.02,0.77808136
0.02,0.7952749
0.02,0.81267834
0.02,0.83055884
0.02,0.8485157
0.02,0.867732
0.02,0.8872345
0.02,0.9082637
0.02,0.929789
0.02,0.9523257
0.02,0.97541577
0.02,0.99997526
0.02,1.023657
0.02,1.0482355
0.02,1.0732148
0.02,1.0976025
0.02,1.1216468
0.02,1.1462826
0.02,1.1731892
0.02,1.1982639
0.02,1.2253995
0.02,1.2516191
0.02,1.2800524
0.02,1.3093252
0.02,1.3395141
0.02,1.3697984
0.02,1.4007124
0.02,1.4332676
0.02,1.4639335
0.02,1.495439
0.02,1.5280132
0.02,1.5610263
0.02,1.5942112
0.02,1.6285791
0.02,1.6641113
0.02,1.6992043
0.02,1.735347
0.02,1.7733598
0.02,1.8109528
0.02,1.8492327
0.02,1.8868066
0.02,1.9271857
0.02,1.964626
0.02,2.0041845
0.02,2.0462046
0.02,2.0881484
0.02,2.1286612
