control/mA,Ewe/V
-0.01,-0.55265224
-0.01,-0.5552093
-0.01,-0.55912125
-0.01,-0.5625371
-0.01,-0.56476974
-0.01,-0.5690061
-0.01,-0.57261276
-0.01,-0.5762194
-0.01,-0.5787192
-0.01,-0.5816198
0.01,-0.30773574
0.01,0.21105735
0.01,0.25956565
0.01,0.28948736
0.01,0.3113943
0.01,0.32910308
0.01,0.3444265
0.01,0.35816607
0.01,0.36997828
0.01,0.3811798
0.01,0.39110285
0.01,0.40047246
0.01,0.40896428
0.01,0.41726524
0.01,0.42541358
0.01,0.43339014
0.01,0.44067976
0.01,0.44783577
0.01,0.4546292
0.01,0.46109825
0.01,0.46726197
0.01,0.47336844
0.01,0.47945583
0.01,0.48575315
0.01,0.4909627
0.01,0.49651578
0.01,0.5019353
0.01,0.50748837
0.01,0.5130796
0.01,0.5180602
0.01,0.52328885
0.01,0.52874655
0.01,0.5336126
0.01,0.53876495
0.01,0.54347837
0.01,0.54836357
0.01,0.5524854
0.01,0.5569317
0.01,0.56160694
0.01,0.566225
0.01,0.57025146
0.01,0.5751748
0.01,0.57946837
0.01,0.58422
0.01,0.5887426
0.01,0.5931125
0.01,0.5977306
0.01,0.6021387
0.01,0.60656583
0.01,0.6104969
0.01,0.614676
0.01,0.6187025
0.01,0.6227099
0.01,0.626431
0.01,0.6306864
0.01,0.63454115
0.01,0.6386058
0.01,0.64211696
0.01,0.6466205
0.01,0.6504943
0.01,0.65429175
