control/mA,Ewe/V
-0.01,-0.54601145
-0.01,-0.5493509
-0.01,-0.55236596
-0.01,-0.55505663
-0.01,-0.55870146
-0.01,-0.5620027
-0.01,-0.56496054
-0.01,-0.56772757
-0.01,-0.57064724
-0.01,-0.5737004
0.01,-0.30525097
0.01,0.20401584
0.01,0.2529058
0.01,0.28229317
0.01,0.30460086
0.01,0.32175624
0.01,0.33665985
0.01,0.35015133
0.01,0.3621925
0.01,0.37285975
0.01,0.3832217
0.01,0.39249587
0.01,0.4011976
0.01,0.40942225
0.01,0.41716984
0.01,0.42468843
0.01,0.43192077
0.01,0.43882874
0.01,0.44522142
0.01,0.45159507
0.01,0.45789236
0.01,0.46397975
0.01,0.46991447
0.01,0.47546756
0.01,0.48111603
0.01,0.48682177
0.01,0.4919932
0.01,0.4970501
0.01,0.50197345
0.01,0.5073548
0.01,0.51225907
0.01,0.5169534
0.01,0.52187675
0.01,0.526323
0.01,0.5305785
0.01,0.5352537
0.01,0.5400244
0.01,0.54448974
0.01,0.54937494
0.01,0.5537258
0.01,0.5580385
0.01,0.5626565
0.01,0.5668738
0.01,0.57114834
0.01,0.5752702
0.01,0.57975465
0.01,0.58395284
0.01,0.5878839
0.01,0.59156686
0.01,0.59595585
0.01,0.599677
0.01,0.6034936
0.01,0.60778713
0.01,0.6113556
0.01,0.6152676
0.01,0.61906505
0.01,0.62255716
0.01,0.62656456
0.01,0.6302666
0.01,0.6333771
0.01,0.6368501
