control/mA,Ewe/V
-0.04,-2.438966
-0.04,-2.4554155
-0.04,-2.4734294
-0.04,-2.4914627
-0.04,-2.5086944
-0.04,-2.5243232
-0.04,-2.5422227
-0.04,-2.5598361
-0.04,-2.5777547
-0.04,-2.5881357
0.04,-1.9028112
0.04,-0.9027308
0.04,0.029517327
0.04,0.33580112
0.04,0.50912946
0.04,0.6210687
0.04,0.69856364
0.04,0.765544
0.04,0.83258164
0.04,0.8955546
0.04,0.9504747
0.04,0.99644494
0.04,1.0421672
0.04,1.0909045
0.04,1.142256
0.04,1.2004392
0.04,1.2609887
0.04,1.334419
0.04,1.4150817
0.04,1.5027287
0.04,1.6002986
0.04,1.7043567
0.04,1.8123459
0.04,1.9116523
0.04,1.9947766
0.04,2.0583985
0.04,2.1095593
0.04,2.1542127
0.04,2.1963093
0.04,2.2374494
0.04,2.2772748
0.04,2.3165853
0.04,2.3590825
0.04,2.4011219
0.04,2.447989
0.04,2.4933105
0.04,2.5410745
0.04,2.588972
0.04,2.6404
0.04,2.6921906
0.04,2.746042
0.04,2.801191
0.04,2.858668
0.04,2.916947
0.04,2.9742713
0.04,3.0293822
0.04,3.0825849
0.04,3.133593
0.04,3.1826928
0.04,3.2322698
0.04,3.2788887
0.04,3.3242102
0.04,3.3694744
0.04,3.412964
0.04,3.4550986
0.04,3.4978821
0.04,3.5375934
0.04,3.576732
0.04,3.6142294
0.04,3.6481586
0.04,3.6828127
0.04,3.7092042
