control/mA,Ewe/V
-0.08,-6.38941
-0.08,-6.44641
-0.08,-6.5100126
-0.08,-6.577947
-0.08,-6.6458817
-0.08,-6.70708
-0.08,-6.7620573
-0.08,-6.8088675
-0.08,-6.8537307
-0.08,-6.8845873
0.08,-5.7944746
0.08,-4.761921
0.08,-3.757731
0.08,-2.7567225
0.08,-1.7566634
0.08,-0.7566526
0.08,0.15206657
0.08,0.5422189
0.08,0.7624717
0.08,0.8788572
0.08,0.96684766
0.08,1.0577768
0.08,1.1564727
0.08,1.2671715
0.08,1.3859233
0.08,1.5259523
0.08,1.7093754
0.08,1.9322997
0.08,2.1407404
0.08,2.3004987
0.08,2.4408138
0.08,2.586396
0.08,2.754763
0.08,2.9452274
0.08,3.1415887
0.08,3.342587
0.08,3.5433943
0.08,3.7332675
0.08,3.901348
0.08,4.078226
0.08,4.248109
0.08,4.4207697
0.08,4.58345
0.08,4.7252727
0.08,4.8447304
0.08,4.941823
0.08,5.0311875
0.08,5.1051903
0.08,5.1767507
0.08,5.2422423
0.08,5.303231
0.08,5.36212
0.08,5.4173646
0.08,5.468125
0.08,5.5137515
0.08,5.556611
0.08,5.5941663
0.08,5.628
0.08,5.658227
0.08,5.684618
0.08,5.708472
0.08,5.729253
0.08,5.7480683
0.08,5.7647085
0.08,5.779555
0.08,5.7919965
0.08,5.803026
0.08,5.813255
0.08,5.822052
0.08,5.830181
0.08,5.8371463
0.08,5.8431573
0.08,5.8486915
0.08,5.854206
0.08,5.8593397
0.08,5.8610377
