control/mA,Ewe/V
-0.01,-0.6567294
-0.01,-0.65695834
-0.01,-0.6574927
-0.01,-0.65804607
-0.01,-0.6580843
-0.01,-0.6584277
-0.01,-0.65880936
-0.01,-0.658943
-0.01,-0.6591911
-0.01,-0.6589048
0.01,-0.30276617
0.01,0.2736296
0.01,0.31530628
0.01,0.3428617
0.01,0.36476868
0.01,0.38270643
0.01,0.39843062
0.01,0.4119221
0.01,0.42365795
0.01,0.43380997
0.01,0.44296968
0.01,0.45117524
0.01,0.45844576
0.01,0.4651438
0.01,0.47130752
0.01,0.47720408
0.01,0.48245183
0.01,0.48714617
0.01,0.49142072
0.01,0.49569523
0.01,0.49945453
0.01,0.5031566
0.01,0.5066487
0.01,0.50981647
0.01,0.51290786
0.01,0.51590383
0.01,0.5185945
0.01,0.5212088
0.01,0.5234797
0.01,0.5259414
0.01,0.5280977
0.01,0.53013957
0.01,0.53237224
0.01,0.53458583
0.01,0.53655136
0.01,0.5385169
0.01,0.5402725
0.01,0.5421044
0.01,0.5436692
0.01,0.5454439
0.01,0.54702777
0.01,0.54849714
0.01,0.55011916
0.01,0.55145496
0.01,0.55269533
0.01,0.55426013
0.01,0.55553865
0.01,0.5568363
0.01,0.5580194
0.01,0.5593552
0.01,0.560462
0.01,0.5615497
0.01,0.56282824
0.01,0.5638778
0.01,0.56481284
0.01,0.5659388
0.01,0.56702644
0.01,0.5678661
0.01,0.56887746
0.01,0.5699652
0.01,0.5708239
