control/mA,Ewe/V
-0.08,-6.2695894
-0.08,-6.3043203
-0.08,-6.33407
-0.08,-6.366167
-0.08,-6.3957644
-0.08,-6.4250946
-0.08,-6.4520583
-0.08,-6.4807973
-0.08,-6.5108905
-0.08,-6.5286183
0.08,-5.2414083
0.08,-4.2249904
0.08,-3.2192683
0.08,-2.2190666
0.08,-1.2189506
0.08,-0.21893969
0.08,0.6787367
0.08,1.0391139
0.08,1.150767
0.08,1.1978822
0.08,1.2503024
0.08,1.3194009
0.08,1.4113033
0.08,1.5266584
0.08,1.670733
0.08,1.8536599
0.08,2.0511088
0.08,2.2317436
0.08,2.3721924
0.08,2.4926808
0.08,2.6221187
0.08,2.770716
0.08,2.9449222
0.08,3.137982
0.08,3.338446
0.08,3.5448065
0.08,3.7439156
0.08,3.9261746
0.08,4.0887785
0.08,4.2433195
0.08,4.400046
0.08,4.562669
0.08,4.7204256
0.08,4.864996
0.08,4.991858
0.08,5.095611
0.08,5.181636
0.08,5.258043
0.08,5.3267026
0.08,5.389733
0.08,5.446771
0.08,5.4955463
0.08,5.5432916
0.08,5.5852923
0.08,5.6194315
0.08,5.6511087
0.08,5.6775575
0.08,5.7017736
0.08,5.723165
0.08,5.7413893
0.08,5.758774
0.08,5.7739444
0.08,5.787703
0.08,5.799153
0.08,5.8128347
0.08,5.8226814
0.08,5.8323946
0.08,5.8424897
0.08,5.8512864
0.08,5.858767
0.08,5.8682704
0.08,5.8754263
0.08,5.882563
0.08,5.887811
0.08,5.8930016
0.08,5.896417
