control/mA,Ewe/V
-0.08,-6.4244647
-0.08,-6.467439
-0.08,-6.524344
-0.08,-6.576516
-0.08,-6.629833
-0.08,-6.683284
-0.08,-6.738261
-0.08,-6.789918
-0.08,-6.836747
-0.08,-6.8630815
0.08,-5.7722716
0.08,-4.6870594
0.08,-3.6700785
0.08,-2.6698005
0.08,-1.6697608
0.08,-0.6696545
0.08,0.16620687
0.08,0.5594697
0.08,0.7852755
0.08,0.8957836
0.08,0.98451823
0.08,1.0731575
0.08,1.165995
0.08,1.273507
0.08,1.3890529
0.08,1.5214489
0.08,1.698212
0.08,1.9122438
0.08,2.1211233
0.08,2.2732294
0.08,2.4070947
0.08,2.5493946
0.08,2.7179713
0.08,2.9055927
0.08,3.0974884
0.08,3.296674
0.08,3.5011454
0.08,3.6984987
0.08,3.8885436
0.08,4.0647535
0.08,4.2332816
0.08,4.4055796
0.08,4.5739846
0.08,4.725387
0.08,4.851543
0.08,4.9552765
0.08,5.04258
0.08,5.118396
0.08,5.189975
0.08,5.250849
0.08,5.3119326
0.08,5.3677497
0.08,5.4180326
0.08,5.464251
0.08,5.504573
0.08,5.5387497
0.08,5.568691
0.08,5.597391
0.08,5.6230955
0.08,5.64651
0.08,5.668474
0.08,5.6871753
0.08,5.704235
0.08,5.719616
0.08,5.73368
0.08,5.746618
0.08,5.7582393
0.08,5.7688684
0.08,5.778276
0.08,5.786539
0.08,5.794
0.08,5.800908
0.08,5.807053
0.08,5.812873
0.08,5.8185406
0.08,5.8207927
