control/mA,Ewe/V
-0.04,-3.09524
-0.04,-3.1260586
-0.04,-3.1553507
-0.04,-3.1848524
-0.04,-3.2123125
-0.04,-3.2398107
-0.04,-3.2661448
-0.04,-3.2912576
-0.04,-3.3159318
-0.04,-3.3345754
0.04,-2.6810317
0.04,-1.6810005
0.04,-0.68097055
0.04,0.31908464
0.04,0.66845113
0.04,0.79159194
0.04,0.87422013
0.04,0.95392865
0.04,1.0356408
0.04,1.1121054
0.04,1.1879401
0.04,1.268908
0.04,1.3603716
0.04,1.463132
0.04,1.5781627
0.04,1.6961321
0.04,1.8187003
0.04,1.9287504
0.04,2.0217214
0.04,2.0926902
0.04,2.1450722
0.04,2.190031
0.04,2.2277172
0.04,2.2668366
0.04,2.3059373
0.04,2.3474803
0.04,2.3924963
0.04,2.4377606
0.04,2.4904861
0.04,2.5450628
0.04,2.6040666
0.04,2.6685662
0.04,2.7372258
0.04,2.8198159
0.04,2.9073863
0.04,2.9997659
0.04,3.0974884
0.04,3.1979017
0.04,3.3007195
0.04,3.410426
0.04,3.5231285
0.04,3.6425483
0.04,3.7706697
0.04,3.905489
0.04,4.031454
0.04,4.1282225
0.04,4.21023
0.04,4.277363
0.04,4.3324165
0.04,4.3721275
0.04,4.4197392
0.04,4.4531717
0.04,4.4878263
0.04,4.5156107
0.04,4.5435095
0.04,4.569939
0.04,4.5940404
0.04,4.6189055
0.04,4.6401634
0.04,4.6639595
0.04,4.685924
0.04,4.705751
0.04,4.720826
