control/mA,Ewe/V
-0.02,-1.4703975
-0.02,-1.5023038
-0.02,-1.5359848
-0.02,-1.5701429
-0.02,-1.6034422
-0.02,-1.6359019
-0.02,-1.6701554
-0.02,-1.7021953
-0.02,-1.7356855
-0.02,-1.7487953
0.02,-1.0736926
0.02,-0.073682025
0.02,0.4389432
0.02,0.49256566
0.02,0.530006
0.02,0.5588209
0.02,0.58318955
0.02,0.60545903
0.02,0.6278431
0.02,0.6514484
0.02,0.6761987
0.02,0.70199853
0.02,0.72936314
0.02,0.75613624
0.02,0.78105825
0.02,0.80370945
0.02,0.8248722
0.02,0.843974
0.02,0.8638773
0.02,0.8847156
0.02,0.9043517
0.02,0.92673576
0.02,0.9501693
0.02,0.9753776
0.02,1.0015401
0.02,1.0301069
0.02,1.059895
0.02,1.0922402
0.02,1.1255969
0.02,1.1621212
0.02,1.1980349
0.02,1.2399024
0.02,1.2829148
0.02,1.3286752
0.02,1.3767827
0.02,1.4272183
0.02,1.4801538
0.02,1.534654
0.02,1.5916159
0.02,1.6479672
0.02,1.7076771
0.02,1.7683601
0.02,1.8276311
0.02,1.8890584
0.02,1.9475659
0.02,2.0049667
0.02,2.0589137
0.02,2.1111813
0.02,2.1597278
0.02,2.204398
0.02,2.2488418
0.02,2.2912626
0.02,2.3312218
0.02,2.3708184
0.02,2.4102242
0.02,2.4460807
0.02,2.484914
0.02,2.5218773
0.02,2.5592031
0.02,2.594964
0.02,2.6310303
0.02,2.664406
