control/mA,Ewe/V
-0.08,-5.053576
-0.08,-5.0828867
-0.08,-5.1163197
-0.08,-5.1490464
-0.08,-5.1790447
-0.08,-5.209768
-0.08,-5.2394986
-0.08,-5.268314
-0.08,-5.296499
-0.08,-5.3061166
0.08,-4.52675
0.08,-3.526729
0.08,-2.5266228
0.08,-1.5264496
0.08,-0.52643865
0.08,0.47359744
0.08,0.91875917
0.08,1.0307748
0.08,1.1418935
0.08,1.2707973
0.08,1.3979263
0.08,1.5350167
0.08,1.6952542
0.08,1.85553
0.08,1.9706179
0.08,2.0424263
0.08,2.0966976
0.08,2.1359506
0.08,2.1688683
0.08,2.1996083
0.08,2.2330413
0.08,2.2686114
0.08,2.307941
0.08,2.3542166
0.08,2.408335
0.08,2.4729683
0.08,2.5382311
0.08,2.627672
0.08,2.7205665
0.08,2.8171632
0.08,2.9204962
0.08,3.029802
0.08,3.1468172
0.08,3.2689657
0.08,3.3945682
0.08,3.5224226
0.08,3.6557343
0.08,3.7971563
0.08,3.9474328
0.08,4.095286
0.08,4.2308774
0.08,4.348503
0.08,4.4453673
0.08,4.522003
0.08,4.5808735
0.08,4.62942
0.08,4.67352
0.08,4.6971636
0.08,4.722334
0.08,4.7490115
0.08,4.77588
0.08,4.8028245
0.08,4.8300366
0.08,4.8592143
0.08,4.8886585
0.08,4.918733
0.08,4.9497614
0.08,4.9801793
0.08,5.0085745
0.08,5.039374
0.08,5.068647
0.08,5.097977
0.08,5.126792
0.08,5.154214
0.08,5.1646523
