control/mA,Ewe/V
-0.16,-0.0023317356
-0.16,-0.0023126528
-0.16,-0.0022172388
-0.16,-0.0022744872
-0.16,-0.0023508174
-0.16,-0.0022554044
-0.16,-0.0023508174
-0.16,-0.0022554044
-0.16,-0.0021790732
-0.16,-0.0021599904
0.16,0.0027829465
0.16,0.0020443017
0.16,0.0020633843
0.16,0.0021206324
0.16,0.0020443017
0.16,0.0020443017
0.16,0.0022160462
0.16,0.0021206324
0.16,0.0023305425
0.16,0.0022732944
0.16,0.0023114597
0.16,0.0021206324
0.16,0.002158798
0.16,0.0022351288
0.16,0.0021778806
0.16,0.0022542116
0.16,0.0023305425
0.16,0.0022542116
0.16,0.0022542116
0.16,0.0023114597
0.16,0.0023305425
0.16,0.0022732944
0.16,0.0022732944
0.16,0.0023114597
0.16,0.0022732944
0.16,0.002368708
0.16,0.0022160462
