control/mA,Ewe/V
-0.01,-0.519849
-0.01,-0.5221771
-0.01,-0.524925
-0.01,-0.5274249
-0.01,-0.5299819
-0.01,-0.53231
-0.01,-0.53482896
-0.01,-0.5374433
-0.01,-0.5397714
-0.01,-0.5414507
0.01,-0.28304815
0.01,0.20046644
0.01,0.24678022
0.01,0.2750799
0.01,0.29620448
0.01,0.31374148
0.01,0.32843518
0.01,0.34160227
0.01,0.35343355
0.01,0.36413896
0.01,0.37385204
0.01,0.38268736
0.01,0.39123642
0.01,0.39913666
0.01,0.4065026
0.01,0.4139067
0.01,0.42049024
0.01,0.42701653
0.01,0.43318024
0.01,0.43922946
0.01,0.4451451
0.01,0.45086992
0.01,0.45590776
0.01,0.46111736
0.01,0.46628878
0.01,0.47109762
0.01,0.4753912
0.01,0.48002833
0.01,0.48460817
0.01,0.48903537
0.01,0.49367246
0.01,0.49750808
0.01,0.50189716
0.01,0.5059999
0.01,0.5095684
0.01,0.51359487
0.01,0.51733506
0.01,0.52130425
0.01,0.5249491
0.01,0.5291282
0.01,0.5324104
0.01,0.5357117
0.01,0.5389749
0.01,0.5426387
0.01,0.5459019
0.01,0.5490887
0.01,0.55223733
0.01,0.5557486
0.01,0.55908805
0.01,0.5621604
0.01,0.5654617
0.01,0.56851494
0.01,0.57137734
0.01,0.57475495
0.01,0.5773884
0.01,0.57994545
0.01,0.582598
0.01,0.5854413
0.01,0.5882846
0.01,0.5911661
0.01,0.5937232
