control/mA,Ewe/V
-0.04,-3.6024206
-0.04,-3.6524937
-0.04,-3.6982923
-0.04,-3.7433274
-0.04,-3.7865689
-0.04,-3.8272913
-0.04,-3.865075
-0.04,-3.9026299
-0.04,-3.9375513
-0.04,-3.9694576
0.04,-3.302069
0.04,-2.301752
0.04,-1.3017505
0.04,-0.30172053
0.04,0.5814148
0.04,0.78989357
0.04,0.8805365
0.04,0.955627
0.04,1.0352211
0.04,1.113861
0.04,1.1898483
0.04,1.270034
0.04,1.3600471
0.04,1.4632846
0.04,1.5798801
0.04,1.706265
0.04,1.8322109
0.04,1.9449326
0.04,2.0312247
0.04,2.0918696
0.04,2.1438508
0.04,2.1894014
0.04,2.231381
0.04,2.2723706
0.04,2.3133032
0.04,2.3548844
0.04,2.397477
0.04,2.445432
0.04,2.4947035
0.04,2.5474672
0.04,2.6126728
0.04,2.678222
0.04,2.7505074
0.04,2.8309028
0.04,2.9137218
0.04,3.0015213
0.04,3.0916681
0.04,3.188017
0.04,3.2881439
0.04,3.3908281
0.04,3.495096
0.04,3.603047
0.04,3.7187073
0.04,3.847592
0.04,3.9795873
0.04,4.1013923
0.04,4.2055545
0.04,4.2899384
0.04,4.359323
0.04,4.419014
0.04,4.4671597
0.04,4.5107636
0.04,4.5489674
0.04,4.584652
0.04,4.611139
0.04,4.6384845
0.04,4.665963
0.04,4.6931562
0.04,4.7192426
0.04,4.744813
0.04,4.768056
0.04,4.7915277
0.04,4.811832
0.04,4.817442
