control/mA,Ewe/V
-0.08,-6.295943
-0.08,-6.332677
-0.08,-6.3654995
-0.08,-6.399295
-0.08,-6.4301324
-0.08,-6.4597106
-0.08,-6.4920177
-0.08,-6.523695
-0.08,-6.5548
-0.08,-6.5732913
0.08,-5.3380747
0.08,-4.272831
0.08,-3.2720704
0.08,-2.271735
0.08,-1.2715998
0.08,-0.2715126
0.08,0.601051
0.08,0.982152
0.08,1.1206162
0.08,1.178017
0.08,1.2364675
0.08,1.3088864
0.08,1.4018002
0.08,1.5086825
0.08,1.6517457
0.08,1.8337184
0.08,2.0328085
0.08,2.2126226
0.08,2.358262
0.08,2.4877384
0.08,2.6161458
0.08,2.7560604
0.08,2.91813
0.08,3.1051025
0.08,3.3017309
0.08,3.5096943
0.08,3.7126582
0.08,3.9015388
0.08,4.0723677
0.08,4.230152
0.08,4.3868403
0.08,4.5437765
0.08,4.703041
0.08,4.85639
0.08,4.9874883
0.08,5.096355
0.08,5.186082
0.08,5.263119
0.08,5.330481
0.08,5.3976903
0.08,5.456866
0.08,5.508466
0.08,5.555714
0.08,5.5954065
0.08,5.6300607
0.08,5.6606503
0.08,5.689675
0.08,5.715303
0.08,5.7336416
0.08,5.7561975
0.08,5.7750893
0.08,5.791844
0.08,5.805469
0.08,5.819342
0.08,5.83104
0.08,5.842623
0.08,5.8520308
0.08,5.8618584
0.08,5.870198
0.08,5.8787274
0.08,5.885979
0.08,5.893765
0.08,5.9022565
0.08,5.9092026
0.08,5.9140496
0.08,5.918095
