control/mA,Ewe/V
-0.01,-0.6586758
-0.01,-0.66335106
-0.01,-0.66905683
-0.01,-0.6738084
-0.01,-0.68052554
-0.01,-0.6855634
-0.01,-0.6878342
-0.01,-0.69256675
-0.01,-0.6986541
-0.01,-0.7026615
0.01,-0.38981402
0.01,0.21777448
0.01,0.27002296
0.01,0.30053625
0.01,0.3215654
0.01,0.33866352
0.01,0.35450217
0.01,0.36852798
0.01,0.38116074
0.01,0.39301112
0.01,0.40514773
0.01,0.41602486
0.01,0.42611963
0.01,0.43604264
0.01,0.44516417
0.01,0.4546674
0.01,0.46338817
0.01,0.47159377
0.01,0.48008558
0.01,0.4886728
0.01,0.49653488
0.01,0.5042825
0.01,0.5121064
0.01,0.5194151
0.01,0.5259414
0.01,0.5325631
0.01,0.5396046
0.01,0.54656976
0.01,0.5533632
0.01,0.5603666
0.01,0.56672114
0.01,0.57345736
0.01,0.5800218
0.01,0.58681524
0.01,0.59292173
0.01,0.6000587
0.01,0.60658497
0.01,0.6132066
0.01,0.6202482
0.01,0.6269653
0.01,0.6340641
0.01,0.64007515
0.01,0.6468495
0.01,0.65394825
0.01,0.6593868
0.01,0.6660276
0.01,0.6735462
0.01,0.68035877
0.01,0.6877438
0.01,0.6949189
0.01,0.70245653
0.01,0.70949805
0.01,0.71667314
0.01,0.72440165
0.01,0.7312142
0.01,0.73947704
0.01,0.747091
0.01,0.754934
0.01,0.7620328
0.01,0.77062
0.01,0.77798593
