control/mA,Ewe/V
-0.02,-1.8002042
-0.02,-1.8440562
-0.02,-1.8854085
-0.02,-1.9253677
-0.02,-1.9659948
-0.02,-2.005038
-0.02,-2.0431845
-0.02,-2.0799186
-0.02,-2.1162522
-0.02,-2.133789
0.02,-1.4316628
0.02,-0.43165478
0.02,0.41188392
0.02,0.48376852
0.02,0.51676255
0.02,0.5425242
0.02,0.56702644
0.02,0.5902692
0.02,0.6143134
0.02,0.6391973
0.02,0.6648636
0.02,0.6918275
0.02,0.7204134
0.02,0.7481215
0.02,0.77586776
0.02,0.8004845
0.02,0.82384175
0.02,0.84586316
0.02,0.8673694
0.02,0.88912374
0.02,0.9107444
0.02,0.9341017
0.02,0.9600542
0.02,0.98625475
0.02,1.0157758
0.02,1.0470524
0.02,1.0803517
0.02,1.114567
0.02,1.1522173
0.02,1.1905353
0.02,1.232212
0.02,1.2794417
0.02,1.3264425
0.02,1.3775842
0.02,1.4314165
0.02,1.4906875
0.02,1.5497484
0.02,1.609859
0.02,1.6799308
0.02,1.7500408
0.02,1.8208758
0.02,1.8934093
0.02,1.9664197
0.02,2.031568
0.02,2.100972
0.02,2.1636398
0.02,2.2250264
0.02,2.280977
0.02,2.3353245
0.02,2.3859892
0.02,2.435051
0.02,2.4837883
0.02,2.5316668
0.02,2.5782666
0.02,2.6236453
0.02,2.6698065
0.02,2.7132578
0.02,2.7566903
0.02,2.79934
0.02,2.8389175
0.02,2.8783808
0.02,2.9182444
