control/mA,Ewe/V
-0.08,-5.241121
-0.08,-5.2753363
-0.08,-5.3068037
-0.08,-5.3338246
-0.08,-5.356495
-0.08,-5.37615
-0.08,-5.392065
-0.08,-5.4066253
-0.08,-5.41922
-0.08,-5.4271774
0.08,-4.59929
0.08,-3.5975451
0.08,-2.597477
0.08,-1.5974182
0.08,-0.5973882
0.08,0.40268606
0.08,0.89879864
0.08,1.0319579
0.08,1.1108841
0.08,1.2002485
0.08,1.3061002
0.08,1.4234209
0.08,1.5689266
0.08,1.750785
0.08,1.9333684
0.08,2.0570054
0.08,2.1387558
0.08,2.2035394
0.08,2.2621806
0.08,2.3230734
0.08,2.3914087
0.08,2.4716134
0.08,2.566798
0.08,2.6789663
0.08,2.8093393
0.08,2.9475555
0.08,3.0865922
0.08,3.2348077
0.08,3.385752
0.08,3.5366774
0.08,3.682164
0.08,3.8154187
0.08,3.955047
0.08,4.0898476
0.08,4.230419
0.08,4.3762493
0.08,4.515973
0.08,4.6452775
0.08,4.758114
0.08,4.8525734
0.08,4.931576
0.08,4.9974113
0.08,5.0533237
0.08,5.1043887
0.08,5.1506453
0.08,5.1938486
0.08,5.236174
0.08,5.276572
0.08,5.3151574
0.08,5.348705
0.08,5.3766994
0.08,5.3984346
0.08,5.4164486
0.08,5.4309516
0.08,5.442153
0.08,5.452954
0.08,5.461522
0.08,5.468907
0.08,5.475357
0.08,5.482246
0.08,5.48799
0.08,5.493085
0.08,5.497722
0.08,5.5019584
0.08,5.5034657
