control/mA,Ewe/V
-0.01,-2.1438076
-0.01,-2.1581006
-0.01,-2.171134
-0.01,-2.1855032
-0.01,-2.199262
-0.01,-2.2123015
-0.01,-2.2258503
-0.01,-2.2380443
-0.01,-2.251364
-0.01,-2.2632525
0.01,-0.9611556
0.01,0.059006225
0.01,1.0593417
0.01,1.1744295
0.01,1.2048855
0.01,1.2339867
0.01,1.2598438
0.01,1.2828194
0.01,1.3040394
0.01,1.3234847
0.01,1.3414606
0.01,1.3583487
0.01,1.3746836
0.01,1.3906559
0.01,1.4053876
0.01,1.4200814
0.01,1.4341453
0.01,1.4485528
0.01,1.4626931
0.01,1.4762228
0.01,1.4900768
0.01,1.5037973
0.01,1.5177085
0.01,1.5316008
0.01,1.5451496
0.01,1.5592326
0.01,1.5730866
0.01,1.5870743
0.01,1.601081
0.01,1.615374
0.01,1.6297241
0.01,1.643063
0.01,1.6571269
0.01,1.6710001
0.01,1.684816
0.01,1.6985937
0.01,1.7124096
0.01,1.726817
0.01,1.7409574
0.01,1.7550786
0.01,1.7696196
0.01,1.7841034
0.01,1.797843
0.01,1.8117542
0.01,1.8259709
0.01,1.8401302
0.01,1.8548621
0.01,1.8689833
0.01,1.882761
0.01,1.8967487
0.01,1.9103737
0.01,1.9239224
0.01,1.9377192
0.01,1.9510772
0.01,1.9645305
0.01,1.9778311
0.01,1.9907502
0.01,2.0036502
0.01,2.016989
0.01,2.030099
0.01,2.0425217
0.01,2.0549827
0.01,2.0666804
