control/mA,Ewe/V
-0.01,-0.45880342
-0.01,-0.46038726
-0.01,-0.46227646
-0.01,-0.4638794
-0.01,-0.46557778
-0.01,-0.46733338
-0.01,-0.46905082
-0.01,-0.47048202
-0.01,-0.4721804
-0.01,-0.47374517
0.01,-0.22357349
0.01,0.22468242
0.01,0.26586294
0.01,0.29387638
0.01,0.31534442
0.01,0.33332035
0.01,0.34835753
0.01,0.36116204
0.01,0.3725926
0.01,0.38303086
0.01,0.39251497
0.01,0.4010831
0.01,0.40898335
0.01,0.4161966
0.01,0.4231809
0.01,0.42964995
0.01,0.43571824
0.01,0.44176745
0.01,0.44699612
0.01,0.4523011
0.01,0.45741528
0.01,0.46224323
0.01,0.46688032
0.01,0.47170827
0.01,0.4759446
0.01,0.48023823
0.01,0.48420745
0.01,0.4882339
0.01,0.49193594
0.01,0.49600056
0.01,0.4994736
0.01,0.5031375
0.01,0.5066106
0.01,0.5098737
0.01,0.5131941
0.01,0.51647633
0.01,0.5194914
0.01,0.5225637
0.01,0.5257696
0.01,0.52857476
0.01,0.5315135
0.01,0.53433776
0.01,0.53714293
0.01,0.5398527
0.01,0.542696
0.01,0.5452149
0.01,0.548001
0.01,0.55029094
0.01,0.5529625
0.01,0.5554051
0.01,0.55733246
0.01,0.5594888
0.01,0.5614925
0.01,0.5636488
0.01,0.56548077
0.01,0.5675608
0.01,0.56958354
0.01,0.57143456
0.01,0.57313293
0.01,0.57481223
0.01,0.5763579
