control/mA,Ewe/V
-0.02,-1.5123795
-0.02,-1.5492282
-0.02,-1.5826802
-0.02,-1.6179641
-0.02,-1.6524466
-0.02,-1.6879787
-0.02,-1.7217169
-0.02,-1.7563711
-0.02,-1.7881439
-0.02,-1.8035628
0.02,-1.1271557
0.02,-0.12707548
0.02,0.43606174
0.02,0.48829114
0.02,0.52414757
0.02,0.5525999
0.02,0.5769876
0.02,0.5999251
0.02,0.6226335
0.02,0.64610523
0.02,0.67053115
0.02,0.6967508
0.02,0.7239246
0.02,0.75088847
0.02,0.77645934
0.02,0.7999883
0.02,0.8212083
0.02,0.8414742
0.02,0.8620835
0.02,0.8830745
0.02,0.90486693
0.02,0.9269266
0.02,0.95095176
0.02,0.9761409
0.02,1.0035819
0.02,1.0325686
0.02,1.0652573
0.02,1.0979841
0.02,1.1331345
0.02,1.1716434
0.02,1.211927
0.02,1.2526686
0.02,1.2981809
0.02,1.3464221
0.02,1.3972393
0.02,1.4495451
0.02,1.5057437
0.02,1.5655872
0.02,1.623904
0.02,1.6884226
0.02,1.7520826
0.02,1.8175745
0.02,1.8821313
0.02,1.9461539
0.02,2.007047
0.02,2.0658789
0.02,2.120303
0.02,2.1717117
0.02,2.2204466
0.02,2.2659016
0.02,2.3099065
0.02,2.353415
0.02,2.3953588
0.02,2.4360433
0.02,2.4759834
0.02,2.5167248
0.02,2.555501
0.02,2.5946398
0.02,2.634427
0.02,2.6723635
0.02,2.706121
0.02,2.7421682
