control/mA,Ewe/V
-0.04,-3.6450896
-0.04,-3.7168024
-0.04,-3.7871985
-0.04,-3.8527095
-0.04,-3.912057
-0.04,-3.9643817
-0.04,-4.011993
-0.04,-4.053002
-0.04,-4.0910525
-0.04,-4.1217947
0.04,-3.4473891
0.04,-2.447048
0.04,-1.4470272
0.04,-0.44699728
0.04,0.53859323
0.04,0.78722197
0.04,0.8847156
0.04,0.96190524
0.04,1.044438
0.04,1.1256541
0.04,1.203607
0.04,1.2858726
0.04,1.3807901
0.04,1.4858977
0.04,1.6048784
0.04,1.7334387
0.04,1.8610449
0.04,1.9696828
0.04,2.0487616
0.04,2.1066015
0.04,2.1534114
0.04,2.1962712
0.04,2.2375066
0.04,2.277542
0.04,2.3168716
0.04,2.3553233
0.04,2.3988128
0.04,2.4442487
0.04,2.4932532
0.04,2.546742
0.04,2.6053069
0.04,2.6668868
0.04,2.739573
0.04,2.8178313
0.04,2.8998296
0.04,2.9846904
0.04,3.074532
0.04,3.165423
0.04,3.2643287
0.04,3.36499
0.04,3.4682276
0.04,3.57074
0.04,3.682622
0.04,3.8021562
0.04,3.934113
0.04,4.0562425
0.04,4.1643844
0.04,4.255685
0.04,4.330489
0.04,4.3912106
0.04,4.4440312
0.04,4.490402
0.04,4.529579
0.04,4.568355
0.04,4.602437
0.04,4.6348205
0.04,4.6648564
0.04,4.694511
0.04,4.7234597
0.04,4.750519
0.04,4.776204
0.04,4.8020425
0.04,4.8269835
0.04,4.8354177
