control/mA,Ewe/V
-0.08,-4.9718065
-0.08,-5.0051055
-0.08,-5.0385003
-0.08,-5.0714946
-0.08,-5.103916
-0.08,-5.1344867
-0.08,-5.1626525
-0.08,-5.18996
-0.08,-5.21534
-0.08,-5.2224007
0.08,-4.45397
0.08,-3.4526691
0.08,-2.4524293
0.08,-1.4524086
0.08,-0.45234045
0.08,0.54771477
0.08,0.924255
0.08,1.0356408
0.08,1.1499846
0.08,1.2796516
0.08,1.4049679
0.08,1.5423634
0.08,1.7041277
0.08,1.85761
0.08,1.9640343
0.08,2.033133
0.08,2.0825763
0.08,2.1202838
0.08,2.1501482
0.08,2.1829515
0.08,2.2146645
0.08,2.248231
0.08,2.2854042
0.08,2.3267565
0.08,2.3776882
0.08,2.43715
0.08,2.5074508
0.08,2.590117
0.08,2.6817713
0.08,2.778597
0.08,2.8785715
0.08,2.9820952
0.08,3.0935764
0.08,3.2130916
0.08,3.3356028
0.08,3.4590297
0.08,3.587342
0.08,3.7286112
0.08,3.8818073
0.08,4.0375223
0.08,4.1765594
0.08,4.2934685
0.08,4.3944926
0.08,4.474373
0.08,4.5416775
0.08,4.5976853
0.08,4.647606
0.08,4.692832
0.08,4.735749
0.08,4.7763186
0.08,4.8154
0.08,4.8261437
0.08,4.881293
0.08,4.923485
0.08,4.96352
0.08,5.0023346
0.08,5.04029
0.08,5.069906
0.08,5.1010113
0.08,5.132517
0.08,5.1638126
0.08,5.195833
0.08,5.2266326
0.08,5.255448
0.08,5.263272
