control/mA,Ewe/V
-0.01,-0.64161587
-0.01,-0.64583313
-0.01,-0.6497642
-0.01,-0.6555272
-0.01,-0.65880936
-0.01,-0.6641335
-0.01,-0.6687515
-0.01,-0.6731405
-0.01,-0.67772037
-0.01,-0.6818995
0.01,-0.3774702
0.01,0.21559905
0.01,0.26595834
0.01,0.29534575
0.01,0.31631765
0.01,0.33463708
0.01,0.34856746
0.01,0.3619635
0.01,0.37553135
0.01,0.38858393
0.01,0.39846876
0.01,0.40965125
0.01,0.41976508
0.01,0.4290393
0.01,0.43831348
0.01,0.44804567
0.01,0.45726264
0.01,0.46522012
0.01,0.47350204
0.01,0.48153585
0.01,0.48905444
0.01,0.4959433
0.01,0.50365275
0.01,0.51036984
0.01,0.51746863
0.01,0.5242239
0.01,0.5302922
0.01,0.53765815
0.01,0.54406995
0.01,0.5501573
0.01,0.5564928
0.01,0.56280917
0.01,0.5688584
0.01,0.5753084
0.01,0.5814721
0.01,0.5880556
0.01,0.5938377
0.01,0.6010891
0.01,0.60694754
0.01,0.6133784
0.01,0.61895055
0.01,0.6251906
0.01,0.63141155
0.01,0.63646847
0.01,0.64291847
0.01,0.6488341
0.01,0.655723
0.01,0.66114247
0.01,0.6670772
0.01,0.6731455
0.01,0.68003434
0.01,0.6862171
0.01,0.6928198
0.01,0.6991934
0.01,0.7058533
0.01,0.7126085
0.01,0.7201271
0.01,0.7269206
0.01,0.73346597
0.01,0.7414234
0.01,0.7480642
