control/mA,Ewe/V
-0.02,-1.5932139
-0.02,-1.6295283
-0.02,-1.6667777
-0.02,-1.7016801
-0.02,-1.7381662
-0.02,-1.7730304
-0.02,-1.8084289
-0.02,-1.8444952
-0.02,-1.8776418
-0.02,-1.893595
0.02,-1.2077911
0.02,-0.20764273
0.02,0.43220702
0.02,0.48693627
0.02,0.5215714
0.02,0.5494322
0.02,0.57347643
0.02,0.5970245
0.02,0.619981
0.02,0.64379627
0.02,0.66845113
0.02,0.6948425
0.02,0.7226842
0.02,0.75018245
0.02,0.77666926
0.02,0.8000647
0.02,0.8223151
0.02,0.8436878
0.02,0.86477417
0.02,0.8850782
0.02,0.9068134
0.02,0.9293501
0.02,0.95369965
0.02,0.97978574
0.02,1.00799
0.02,1.0387895
0.02,1.0702188
0.02,1.1044341
0.02,1.1406531
0.02,1.1798872
0.02,1.2212776
0.02,1.2661983
0.02,1.3116534
0.02,1.3616692
0.02,1.4147573
0.02,1.4705361
0.02,1.5287193
0.02,1.583773
0.02,1.6494747
0.02,1.7144896
0.02,1.7847713
0.02,1.856217
0.02,1.9260788
0.02,1.9939561
0.02,2.0567956
0.02,2.1142726
0.02,2.1737726
0.02,2.223271
0.02,2.2681534
0.02,2.318322
0.02,2.369979
0.02,2.4114647
0.02,2.455393
0.02,2.4993024
0.02,2.5442994
0.02,2.5864723
0.02,2.6288931
0.02,2.6668296
0.02,2.7076476
0.02,2.75024
0.02,2.7903903
0.02,2.825388
