control/mA,Ewe/V
-0.01,-0.55372083
-0.01,-0.5574229
-0.01,-0.56080055
-0.01,-0.5641019
-0.01,-0.5677848
-0.01,-0.5705709
-0.01,-0.57362413
-0.01,-0.57711625
-0.01,-0.58009315
-0.01,-0.58387154
0.01,-0.30893806
0.01,0.21204966
0.01,0.2613785
0.01,0.29082313
0.01,0.31253928
0.01,0.32990456
0.01,0.34503716
0.01,0.35814697
0.01,0.37018818
0.01,0.3811989
0.01,0.39156082
0.01,0.4006442
0.01,0.40934592
0.01,0.4173034
0.01,0.4252609
0.01,0.43281767
0.01,0.44010726
0.01,0.44810292
0.01,0.454114
0.01,0.46043035
0.01,0.46665132
0.01,0.4730822
0.01,0.4791696
0.01,0.48508525
0.01,0.49061924
0.01,0.49636313
0.01,0.5017636
0.01,0.5070113
0.01,0.5120873
0.01,0.51722056
0.01,0.5220103
0.01,0.52701
0.01,0.5322005
0.01,0.5370666
0.01,0.5416846
0.01,0.5463217
0.01,0.5512641
0.01,0.55618745
0.01,0.5606338
0.01,0.5652136
0.01,0.5699461
0.01,0.5742588
0.01,0.5787814
0.01,0.58278877
0.01,0.58713967
0.01,0.59164315
0.01,0.5965093
0.01,0.6008792
0.01,0.60502017
0.01,0.6092565
0.01,0.61347383
0.01,0.6174621
0.01,0.6213168
0.01,0.625515
0.01,0.62936974
0.01,0.6336633
0.01,0.6376707
0.01,0.641201
0.01,0.64524657
0.01,0.6491585
0.01,0.6532231
