control/mA,Ewe/V
-0.01,-2.0200179
-0.01,-2.031792
-0.01,-2.0438523
-0.01,-2.0551302
-0.01,-2.0665417
-0.01,-2.077953
-0.01,-2.0890975
-0.01,-2.099841
-0.01,-2.11089
-0.01,-2.1214616
0.01,-0.83250755
0.01,0.19132583
0.01,1.1226391
0.01,1.1637814
0.01,1.1934931
0.01,1.2177092
0.01,1.2384521
0.01,1.2571913
0.01,1.2740604
0.01,1.2896701
0.01,1.3039821
0.01,1.3175309
0.01,1.3305453
0.01,1.3431017
0.01,1.3548757
0.01,1.3664398
0.01,1.3772979
0.01,1.3884423
0.01,1.3992049
0.01,1.4101012
0.01,1.4212264
0.01,1.4324088
0.01,1.4434386
0.01,1.4540868
0.01,1.4651357
0.01,1.47628
0.01,1.487577
0.01,1.4983587
0.01,1.5091977
0.01,1.5206091
0.01,1.5317343
0.01,1.5423443
0.01,1.553775
0.01,1.5648811
0.01,1.5760635
0.01,1.5869216
0.01,1.5980086
0.01,1.6088667
0.01,1.6194768
0.01,1.6303539
0.01,1.6410402
0.01,1.6515739
0.01,1.6621839
0.01,1.673061
0.01,1.6831558
0.01,1.6935368
0.01,1.7040132
0.01,1.7147949
0.01,1.7252713
0.01,1.7352517
0.01,1.7455562
0.01,1.7555747
0.01,1.7660893
0.01,1.7761267
0.01,1.7862979
0.01,1.796488
0.01,1.806163
0.01,1.8160287
0.01,1.8262762
0.01,1.8364663
0.01,1.8457978
0.01,1.8560452
