control/mA,Ewe/V
-0.02,-1.4324038
-0.02,-1.4634514
-0.02,-1.4968271
-0.02,-1.5302981
-0.02,-1.5628533
-0.02,-1.5947977
-0.02,-1.6290703
-0.02,-1.6614156
-0.02,-1.6931119
-0.02,-1.7017946
0.02,-1.0280044
0.02,-0.027940746
0.02,0.44190106
0.02,0.4958288
0.02,0.5325631
0.02,0.5606719
0.02,0.584907
0.02,0.607291
0.02,0.62990403
0.02,0.65307045
0.02,0.6777635
0.02,0.703487
0.02,0.7296685
0.02,0.75567824
0.02,0.77972245
0.02,0.80149585
0.02,0.8211892
0.02,0.8409971
0.02,0.8598508
0.02,0.8795442
0.02,0.9002871
0.02,0.9204957
0.02,0.942479
0.02,0.96593165
0.02,0.99068195
0.02,1.0169398
0.02,1.0438083
0.02,1.0730811
0.02,1.1031555
0.02,1.1350046
0.02,1.169697
0.02,1.2058587
0.02,1.2449211
0.02,1.2857963
0.02,1.3274729
0.02,1.3728898
0.02,1.4199479
0.02,1.4693339
0.02,1.5192925
0.02,1.5711783
0.02,1.6210797
0.02,1.6764578
0.02,1.7311679
0.02,1.7857445
0.02,1.8404164
0.02,1.8896499
0.02,1.9469362
0.02,2.0001771
0.02,2.051796
0.02,2.0994644
0.02,2.1449006
0.02,2.1891341
0.02,2.2307703
0.02,2.2716074
0.02,2.3107078
0.02,2.3500946
0.02,2.387096
0.02,2.42446
0.02,2.4621484
0.02,2.4981384
0.02,2.5330598
0.02,2.5674467
