control/mA,Ewe/V
-0.04,-2.4395387
-0.04,-2.4557972
-0.04,-2.4733913
-0.04,-2.4899743
-0.04,-2.5060992
-0.04,-2.5246093
-0.04,-2.5414786
-0.04,-2.5586147
-0.04,-2.574129
-0.04,-2.5837467
0.04,-1.8857383
0.04,-0.88565177
0.04,0.021216344
0.04,0.31377965
0.04,0.48876822
0.04,0.60458124
0.04,0.6840799
0.04,0.7494764
0.04,0.8118196
0.04,0.87271255
0.04,0.9247321
0.04,0.9715611
0.04,1.015127
0.04,1.0615743
0.04,1.1087468
0.04,1.1657087
0.04,1.2258575
0.04,1.2966353
0.04,1.3690542
0.04,1.4538387
0.04,1.5481265
0.04,1.6460972
0.04,1.7548496
0.04,1.8594038
0.04,1.9502184
0.04,2.0237253
0.04,2.0818703
0.04,2.1308174
0.04,2.174364
0.04,2.216859
0.04,2.2571428
0.04,2.2980177
0.04,2.339122
0.04,2.3807988
0.04,2.423563
0.04,2.4679875
0.04,2.5133474
0.04,2.560119
0.04,2.6074824
0.04,2.6559715
0.04,2.7055295
0.04,2.7553163
0.04,2.807603
0.04,2.8602903
0.04,2.9115846
0.04,2.9648826
0.04,3.01528
0.04,3.0659828
0.04,3.114434
0.04,3.160633
0.04,3.2069468
0.04,3.2514288
0.04,3.2930481
0.04,3.3353546
0.04,3.3770313
0.04,3.4167233
0.04,3.4573123
0.04,3.495077
0.04,3.5340629
0.04,3.5698812
0.04,3.5990777
0.04,3.6248205
