control/mA,Ewe/V
-0.01,-0.6389824
-0.01,-0.6435623
-0.01,-0.64623386
-0.01,-0.6519778
-0.01,-0.656863
-0.01,-0.6612138
-0.01,-0.66560286
-0.01,-0.67056435
-0.01,-0.6759457
-0.01,-0.6786745
0.01,-0.37482512
0.01,0.21508381
0.01,0.26611102
0.01,0.2961663
0.01,0.31767252
0.01,0.33423632
0.01,0.34910178
0.01,0.3625169
0.01,0.3751497
0.01,0.3863894
0.01,0.39724746
0.01,0.40833452
0.01,0.4184293
0.01,0.42783707
0.01,0.4366342
0.01,0.4456031
0.01,0.4539613
0.01,0.4617089
0.01,0.47027704
0.01,0.4777193
0.01,0.48552415
0.01,0.4928519
0.01,0.49989343
0.01,0.50685865
0.01,0.51372844
0.01,0.51977766
0.01,0.5268955
0.01,0.5330401
0.01,0.5393565
0.01,0.5460164
0.01,0.55239004
0.01,0.558611
0.01,0.5648701
0.01,0.5711674
0.01,0.5768731
0.01,0.5824262
0.01,0.58960134
0.01,0.5954406
0.01,0.60160434
0.01,0.60767263
0.01,0.61435163
0.01,0.6197329
0.01,0.6261447
0.01,0.63175505
0.01,0.6381859
0.01,0.6442924
0.01,0.6496546
0.01,0.6559138
0.01,0.66223013
0.01,0.66785955
0.01,0.67404234
0.01,0.68020606
0.01,0.687114
0.01,0.69413644
0.01,0.70047194
0.01,0.7075898
0.01,0.7137535
0.01,0.7200699
0.01,0.7255848
0.01,0.7329316
0.01,0.73888546
