control/mA,Ewe/V
-0.01,-2.0000193
-0.01,-2.011221
-0.01,-2.0227468
-0.01,-2.034082
-0.01,-2.0453408
-0.01,-2.0560844
-0.01,-2.0669997
-0.01,-2.0780294
-0.01,-2.0897462
-0.01,-2.1001844
0.01,-0.81455296
0.01,0.19040985
0.01,1.1083843
0.01,1.1498891
0.01,1.1792383
0.01,1.2034734
0.01,1.2237011
0.01,1.2421541
0.01,1.2588323
0.01,1.2740794
0.01,1.2888876
0.01,1.3018258
0.01,1.3140005
0.01,1.326576
0.01,1.3379111
0.01,1.3492845
0.01,1.360696
0.01,1.371077
0.01,1.3820305
0.01,1.3926405
0.01,1.4032695
0.01,1.4142611
0.01,1.4251384
0.01,1.4362636
0.01,1.4469498
0.01,1.4579225
0.01,1.468914
0.01,1.4799248
0.01,1.490821
0.01,1.501431
0.01,1.5124036
0.01,1.5235288
0.01,1.5349212
0.01,1.5456457
0.01,1.5561602
0.01,1.5670947
0.01,1.5777047
0.01,1.5882956
0.01,1.5990583
0.01,1.6094774
0.01,1.6196103
0.01,1.6298387
0.01,1.640315
0.01,1.6508106
0.01,1.6609435
0.01,1.6716679
0.01,1.6818582
0.01,1.6920483
0.01,1.7023721
0.01,1.7124668
0.01,1.7218174
0.01,1.7319694
0.01,1.7420069
0.01,1.7514719
0.01,1.7611088
0.01,1.7709363
0.01,1.7805158
0.01,1.7903053
0.01,1.8001329
0.01,1.8093498
0.01,1.8187003
0.01,1.8283753
