control/mA,Ewe/V
-0.02,-2.335576
-0.02,-2.3671389
-0.02,-2.3947134
-0.02,-2.421391
-0.02,-2.4476297
-0.02,-2.4711778
-0.02,-2.4928176
-0.02,-2.5092669
-0.02,-2.5317082
-0.02,-2.5380628
0.02,-1.808309
0.02,-0.8082332
0.02,0.16288647
0.02,0.35131538
0.02,0.4340771
0.02,0.49212676
0.02,0.52846026
0.02,0.5538594
0.02,0.57731205
0.02,0.5997724
0.02,0.62255716
0.02,0.646277
0.02,0.6711609
0.02,0.6971134
0.02,0.72300863
0.02,0.7473582
0.02,0.7698949
0.02,0.79082865
0.02,0.8103693
0.02,0.8281735
0.02,0.8463593
0.02,0.8643544
0.02,0.88255924
0.02,0.9016802
0.02,0.92244214
0.02,0.9441392
0.02,0.9681071
0.02,0.9923422
0.02,1.0182565
0.02,1.0464035
0.02,1.0769359
0.02,1.1078117
0.02,1.1417217
0.02,1.1758608
0.02,1.2130147
0.02,1.2528595
0.02,1.2956048
0.02,1.339018
0.02,1.3872782
0.02,1.4371032
0.02,1.4885693
0.02,1.5435084
0.02,1.6003368
0.02,1.6567453
0.02,1.7190886
0.02,1.7815462
0.02,1.8415042
0.02,1.904439
0.02,1.963271
0.02,2.018153
0.02,2.068455
0.02,2.1121163
0.02,2.151961
0.02,2.1912715
0.02,2.226572
0.02,2.2585547
0.02,2.2914343
0.02,2.322043
0.02,2.3518312
0.02,2.3807414
0.02,2.4105678
0.02,2.4364629
