Loop,1
Step,1
Setting
(11:40:27.018),CH1,=,4,V,0.045,A
Reading
(11:40:27.552),[0.5726037],CH1,=,0.74,V,0.046,A
(11:40:27.784),[0.8048011],CH1,=,0.741,V,0.046,A
(11:40:28.029),[1.0491266],CH1,=,0.741,V,0.046,A
(11:40:28.302),[1.3222019],CH1,=,0.742,V,0.046,A
(11:40:28.537),[1.557331],CH1,=,0.744,V,0.046,A
(11:40:28.768),[1.7882848],CH1,=,0.745,V,0.046,A
(11:40:29.003),[2.023788],CH1,=,0.746,V,0.046,A
(11:40:29.247),[2.2672783],CH1,=,0.747,V,0.046,A
(11:40:29.465),[2.4852884],CH1,=,0.748,V,0.046,A
(11:40:29.700),[2.720646],CH1,=,0.749,V,0.046,A
(11:40:29.931),[2.9519185],CH1,=,0.751,V,0.046,A
(11:40:30.171),[3.1916288],CH1,=,0.752,V,0.046,A
(11:40:30.401),[3.4217893],CH1,=,0.753,V,0.046,A
(11:40:30.648),[3.6684309],CH1,=,0.755,V,0.046,A
(11:40:30.881),[3.9013019],CH1,=,0.757,V,0.046,A
(11:40:31.111),[4.1320457],CH1,=,0.758,V,0.046,A
(11:40:31.347),[4.3680431],CH1,=,0.76,V,0.046,A
(11:40:31.581),[4.6016164],CH1,=,0.762,V,0.046,A
(11:40:31.814),[4.8344338],CH1,=,0.764,V,0.046,A
(11:40:32.043),[5.0639353],CH1,=,0.765,V,0.046,A
(11:40:32.289),[5.3090884],CH1,=,0.767,V,0.046,A
(11:40:32.520),[5.5409068],CH1,=,0.77,V,0.046,A
(11:40:32.753),[5.7739731],CH1,=,0.772,V,0.046,A
(11:40:32.984),[6.0047822],CH1,=,0.775,V,0.046,A
(11:40:33.218),[6.2385929],CH1,=,0.778,V,0.046,A
(11:40:33.448),[6.4681685],CH1,=,0.78,V,0.046,A
(11:40:33.695),[6.715417],CH1,=,0.784,V,0.046,A
(11:40:33.924),[6.9441432],CH1,=,0.787,V,0.046,A
(11:40:34.155),[7.1756696],CH1,=,0.791,V,0.046,A
(11:40:34.414),[7.4344835],CH1,=,0.796,V,0.046,A
(11:40:34.645),[7.6651389],CH1,=,0.801,V,0.046,A
(11:40:34.875),[7.8953332],CH1,=,0.806,V,0.046,A
(11:40:35.108),[8.1283238],CH1,=,0.812,V,0.046,A
(11:40:35.338),[8.3583778],CH1,=,0.819,V,0.046,A
(11:40:35.601),[8.6211449],CH1,=,0.827,V,0.046,A
(11:40:35.833),[8.8539278],CH1,=,0.838,V,0.046,A
(11:40:36.063),[9.0836492],CH1,=,0.849,V,0.046,A
(11:40:36.296),[9.3161257],CH1,=,0.862,V,0.046,A
(11:40:36.539),[9.5596944],CH1,=,0.878,V,0.046,A
(11:40:36.768),[9.788754],CH1,=,0.898,V,0.046,A
(11:40:37.000),[10.0205323],CH1,=,0.923,V,0.046,A
(11:40:37.231),[10.251937],CH1,=,0.953,V,0.046,A
(11:40:37.464),[10.4847153],CH1,=,0.996,V,0.046,A
(11:40:37.697),[10.7175996],CH1,=,1.058,V,0.046,A
(11:40:37.930),[10.9504709],CH1,=,1.163,V,0.046,A
(11:40:38.178),[11.1982714],CH1,=,1.26,V,0.046,A
(11:40:38.411),[11.4311351],CH1,=,1.33,V,0.046,A
(11:40:38.641),[11.6617746],CH1,=,1.385,V,0.046,A
(11:40:38.873),[11.8940079],CH1,=,1.424,V,0.046,A
(11:40:39.107),[12.1278731],CH1,=,1.463,V,0.046,A
(11:40:39.339),[12.3593263],CH1,=,1.486,V,0.046,A
(11:40:39.584),[12.6049323],CH1,=,1.496,V,0.046,A
(11:40:39.817),[12.8378499],CH1,=,1.501,V,0.046,A
(11:40:40.049),[13.0690809],CH1,=,1.505,V,0.046,A
(11:40:40.278),[13.2985285],CH1,=,1.508,V,0.046,A
(11:40:40.510),[13.5304328],CH1,=,1.51,V,0.046,A
(11:40:40.757),[13.7772896],CH1,=,1.512,V,0.046,A
(11:40:40.988),[14.0084178],CH1,=,1.514,V,0.046,A
(11:40:41.218),[14.2383876],CH1,=,1.515,V,0.046,A
(11:40:41.449),[14.4691246],CH1,=,1.517,V,0.046,A
(11:40:41.695),[14.7152405],CH1,=,1.518,V,0.046,A
