mode,trial,x0trial,ok_run,pre_max,post_max,mse,wall_s,err,Gamma_p,Gamma_n,K_e,R0,sDn,sDp,sDe,gn,gp,ge
free,26,7,1,0.25799210144324114,0.00015112356693514073,1.373134035051633e-09,305.427011013031,,37693.56106960151,1.6029382459035685e-08,0.22699320584906107,0.0043856454218421295,3.961282625292196,1.1950149199438416,1.1126512322890136,0.020708189144480693,1.244613108967391,1.0110970292621249
free,26,10,1,0.42798583046465843,0.0007329274537646313,1.1349001751948926e-08,305.338862657547,,259.47173769911774,1.2441102695970668e-07,0.46501567941147026,0.012962316853740956,1.0143464925359493,1.1478632592693154,1.0375882025613112,0.8679162431169357,0.9948423379727848,1.0226283991563772
free,26,12,1,0.4844843325882078,0.0004772125073859712,1.1664868488260213e-08,308.3355782032013,,38639.23690504554,1.3282727011834819e-07,0.22549277666397843,0.004671072170086478,1.5384750814270856,1.300417670129307,1.1150031067819222,0.11261879000170644,0.9868253033937883,1.0077111692265235
free,26,3,1,0.26334130342280027,0.00020089348721086253,1.3233915364445027e-08,315.85457253456116,,70502.95239312861,1.5776156298047656e-08,0.20646894545683545,0.0032438514242073735,12.105316859541233,1.213728665359208,1.1337353788542774,0.06644630498831049,1.243080638502159,1.0049953178755602
free,26,13,1,1.6376865982966944,0.00045546860449974247,1.5452789341295543e-08,308.4525179862976,,83068.06710387918,0.0053225497377724015,0.2041457236750276,0.003093078378973717,4.449717843672411,0.8692056219625444,1.1163091021568354,0.25925062118828396,3.1870209487409955,1.0170228993713155
free,26,4,1,0.28556401896207717,0.0018282269828375775,4.549588860241688e-08,417.25382709503174,,0.6552250274535247,1.7559320208136225e-10,1.0873823411561658,0.01595493646566446,1.1495144711876373,0.9931473786319974,0.9757786756204312,0.6677080429169929,1.0074683177853438,1.023725723197561
free,26,8,1,0.011962169298803005,0.0004776134729951309,4.9333195353755e-08,334.40332794189453,,7575.461465476231,1.7215713790115095e-09,0.2792302983362499,0.006254651072057923,1.116518689106491,5.853319238342722,1.136563372602202,0.5562569348738826,0.09002908729070624,0.9544185815269002
free,26,9,1,0.1445148658118569,0.0006997633817924509,5.84652075445199e-08,308.65574383735657,,58040.426286349575,5.359148821915268e-09,0.21256915028864617,0.0036826405862843414,3.1257102164912927,1.2794651384289157,1.1250093604821363,0.10675271343528911,1.052015414676446,1.006644637391959
free,26,2,1,1.8060960578312368,0.0008167040680220339,1.0800972285417996e-07,314.58594584465027,,492071.2612567934,0.023486414534978083,0.1597327540816835,0.001243427047591613,3.367355969884933,1.2229250912298488,1.128317936669836,0.11845813391220861,1.3923938724546625,1.024024084725482
free,26,5,0,inf,inf,inf,1238.2686982154846,"ValueError('INTERNAL: CpuCallback error calling callback: Traceback (most recent call last):\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 784, in _wrapped_callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 223, in _callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 95, in pure_callback_impl\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 70, in __call__\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/equinox/_errors.py"", line 88, in raises\n_EquinoxRuntimeError: The maximum number of solver steps was reached. Try increasing `max_steps`.\n\n\n--------------------\nAn error occurred during the runtime of your JAX program! Unfortunately you do not appear to be using `equinox.filter_jit` (perhaps you are using `jax.jit` instead?) and so further information about the error cannot be displayed. (Probably you are seeing a very large but uninformative error message right now.) Please wrap your program with `equinox.filter_jit`.\n--------------------\n')",,,,,,,,,,
free,26,1,0,inf,inf,inf,704.8530654907227,"ValueError('INTERNAL: CpuCallback error calling callback: Traceback (most recent call last):\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 784, in _wrapped_callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 223, in _callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 95, in pure_callback_impl\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 70, in __call__\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/equinox/_errors.py"", line 88, in raises\n_EquinoxRuntimeError: The maximum number of solver steps was reached. Try increasing `max_steps`.\n\n\n--------------------\nAn error occurred during the runtime of your JAX program! Unfortunately you do not appear to be using `equinox.filter_jit` (perhaps you are using `jax.jit` instead?) and so further information about the error cannot be displayed. (Probably you are seeing a very large but uninformative error message right now.) Please wrap your program with `equinox.filter_jit`.\n--------------------\n')",,,,,,,,,,
free,26,0,0,inf,inf,inf,440.66779804229736,"ValueError('INTERNAL: CpuCallback error calling callback: Traceback (most recent call last):\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 784, in _wrapped_callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 223, in _callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 95, in pure_callback_impl\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 70, in __call__\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/equinox/_errors.py"", line 88, in raises\n_EquinoxRuntimeError: The maximum number of solver steps was reached. Try increasing `max_steps`.\n\n\n--------------------\nAn error occurred during the runtime of your JAX program! Unfortunately you do not appear to be using `equinox.filter_jit` (perhaps you are using `jax.jit` instead?) and so further information about the error cannot be displayed. (Probably you are seeing a very large but uninformative error message right now.) Please wrap your program with `equinox.filter_jit`.\n--------------------\n')",,,,,,,,,,
free,26,6,0,inf,inf,inf,824.9277684688568,"ValueError('INTERNAL: CpuCallback error calling callback: Traceback (most recent call last):\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 784, in _wrapped_callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 223, in _callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 95, in pure_callback_impl\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 70, in __call__\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/equinox/_errors.py"", line 88, in raises\n_EquinoxRuntimeError: The maximum number of solver steps was reached. Try increasing `max_steps`.\n\n\n--------------------\nAn error occurred during the runtime of your JAX program! Unfortunately you do not appear to be using `equinox.filter_jit` (perhaps you are using `jax.jit` instead?) and so further information about the error cannot be displayed. (Probably you are seeing a very large but uninformative error message right now.) Please wrap your program with `equinox.filter_jit`.\n--------------------\n')",,,,,,,,,,
free,26,11,0,inf,inf,inf,367.86294293403625,"ValueError('INTERNAL: CpuCallback error calling callback: Traceback (most recent call last):\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 784, in _wrapped_callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 223, in _callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 95, in pure_callback_impl\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 70, in __call__\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/equinox/_errors.py"", line 88, in raises\n_EquinoxRuntimeError: The maximum number of solver steps was reached. Try increasing `max_steps`.\n\n\n--------------------\nAn error occurred during the runtime of your JAX program! Unfortunately you do not appear to be using `equinox.filter_jit` (perhaps you are using `jax.jit` instead?) and so further information about the error cannot be displayed. (Probably you are seeing a very large but uninformative error message right now.) Please wrap your program with `equinox.filter_jit`.\n--------------------\n')",,,,,,,,,,
