mode,trial,x0trial,ok_run,pre_max,post_max,mse,wall_s,err,Gamma_p,Gamma_n,K_e,R0,sDn,sDp,sDe,gn,gp,ge,xn0,xp0
free,49,11,1,0.17454529668886032,0.0009467051721703257,6.783243250212068e-09,31.081194639205933,,136.33462153894092,3.0136803259975094e-10,0.5552321922630443,0.008188523028030612,3.4495422229674553,1.0061953958597243,1.0376047110245803,1.7921446064604155e-06,1.0524714176451264,0.965923683366693,0.38031416466780305,0.1302914563947665
free,49,6,1,1.837660971076705,0.0007377743184626695,1.0052557819342312e-08,27.276981353759766,,3871.248738157371,0.035122033899725125,0.3968558834576936,0.005967338306803303,1.1919654692040251,1.1170166943375852,1.0606308747587092,0.026404106146618714,0.9501200398132165,1.007437413050626,0.5820251986595071,0.24614416470065592
free,49,12,1,0.2168541493412235,0.0006931374097902676,2.1041773198329427e-08,29.076881885528564,,4.212338510511878,1.1253100327835928e-08,0.8254870305715627,0.009224836829368607,1.0182723629777537,1.2323577896842592,1.1264134779856596,0.9717834507556762,0.16028414527005114,0.9865342550215096,0.25065019449947773,0.6287107786042675
free,49,0,1,0.248792278817767,0.0008507988220625151,2.2375788748839915e-08,31.35540533065796,,875.6701447597183,1.994773241873286e-10,0.43243944488135305,0.01343083975647747,0.9719392588570667,0.9555986701192638,1.047834202195145,0.5933323624110193,1.0353205947869766,0.9295358114639353,0.13809540317715746,0.3454713070878029
free,49,2,1,0.26273138300404675,0.0022678310324462103,3.420256893603562e-08,30.62147331237793,,1.9422493110945884,1.349706211886052e-10,0.9878233265599696,0.009572495932593694,1.0062480611375006,1.0004656384382216,0.9361238387355142,0.8146502390142014,0.9226050535062849,1.0647239441251743,0.20194329303164527,0.3743231710249332
free,49,5,1,0.24341388463790814,0.002295897897482746,4.8030666950871134e-08,30.48077702522278,,2.462066610003403,1.6871127444860724e-10,0.9539592885779405,0.010224880332397709,0.9861019857359704,1.0293414335104107,0.9449782049366472,1.2974968119075942,0.5532020337475578,1.0561915046992247,0.31070287216105225,0.4527160133940389
free,49,15,1,1.6879202561626911,0.0023969267437156105,5.009100305189228e-08,28.066658973693848,,1.7401930558705097,0.00715255133910434,1.1313931049184962,0.004541159652996475,2.329396957400087,0.9882496117982146,0.9595816532607161,0.05893007355647842,1.231014817484437,1.198627757995949,0.561501440939164,0.36435080135035985
free,49,14,1,0.2511651934768917,0.002803412105164327,5.233317817806272e-08,29.722514152526855,,0.33384823667591534,1.459606638701098e-10,1.2243438313820574,0.01435139232851092,1.126872749876631,0.998241502813147,0.9392653594385282,0.2269070990557861,0.9915314335119813,1.080790919292325,0.3292183816378244,0.08861805631491673
free,49,13,1,0.02645799429653195,0.0006105834917704556,9.772115372179673e-08,30.45101046562195,,28562.197840053228,9.61338888037635e-10,0.2915441098211552,0.004530057140913703,0.9915154184172508,1.243757689690733,1.0306568669080525,0.5597029305911378,0.3439320752663917,0.9272370349195348,0.19277715315429045,0.5715713441275051
free,49,1,1,0.08676947024509296,0.002958009551850438,1.214467778552899e-07,30.41985273361206,,203.7537330693665,5.376449855546036e-10,0.7831569484547389,0.004605957901256678,1.0393802185551828,1.570315523367723,0.6934783223720629,0.26125784032889343,0.4011886202371681,1.4302172507087292,0.19135406160401924,0.5550475717642768
free,49,9,1,0.20301177113753965,0.00426220798507515,1.2737171147701377e-07,30.294140338897705,,0.43349631098417885,2.6531475160453936e-10,1.3324589587322004,0.014615560802680488,1.4974996013744233,1.0031339820837653,0.8235293601925902,0.0008364320447255398,0.9765658281102528,1.212726676359022,0.0523672595135128,0.22434140616708842
free,49,3,0,inf,inf,inf,103.57579398155212,"ValueError('INTERNAL: CpuCallback error calling callback: Traceback (most recent call last):\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 784, in _wrapped_callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 223, in _callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 95, in pure_callback_impl\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 70, in __call__\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/equinox/_errors.py"", line 88, in raises\n_EquinoxRuntimeError: The maximum number of solver steps was reached. Try increasing `max_steps`.\n\n\n--------------------\nAn error occurred during the runtime of your JAX program! Unfortunately you do not appear to be using `equinox.filter_jit` (perhaps you are using `jax.jit` instead?) and so further information about the error cannot be displayed. (Probably you are seeing a very large but uninformative error message right now.) Please wrap your program with `equinox.filter_jit`.\n--------------------\n')",,,,,,,,,,,0.6009773543626609,0.6664466043244859
free,49,7,0,inf,inf,inf,106.46533036231995,"ValueError('INTERNAL: CpuCallback error calling callback: Traceback (most recent call last):\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 784, in _wrapped_callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 223, in _callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 95, in pure_callback_impl\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 70, in __call__\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/equinox/_errors.py"", line 88, in raises\n_EquinoxRuntimeError: The maximum number of solver steps was reached. Try increasing `max_steps`.\n\n\n--------------------\nAn error occurred during the runtime of your JAX program! Unfortunately you do not appear to be using `equinox.filter_jit` (perhaps you are using `jax.jit` instead?) and so further information about the error cannot be displayed. (Probably you are seeing a very large but uninformative error message right now.) Please wrap your program with `equinox.filter_jit`.\n--------------------\n')",,,,,,,,,,,0.8708645903303917,0.13518982550575828
free,49,4,0,inf,inf,inf,110.81065249443054,"ValueError('INTERNAL: CpuCallback error calling callback: Traceback (most recent call last):\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 784, in _wrapped_callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 223, in _callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 95, in pure_callback_impl\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 70, in __call__\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/equinox/_errors.py"", line 88, in raises\n_EquinoxRuntimeError: The maximum number of solver steps was reached. Try increasing `max_steps`.\n\n\n--------------------\nAn error occurred during the runtime of your JAX program! Unfortunately you do not appear to be using `equinox.filter_jit` (perhaps you are using `jax.jit` instead?) and so further information about the error cannot be displayed. (Probably you are seeing a very large but uninformative error message right now.) Please wrap your program with `equinox.filter_jit`.\n--------------------\n')",,,,,,,,,,,0.8351428289660405,0.8922403599198332
free,49,10,0,inf,inf,inf,106.51257371902466,"ValueError('INTERNAL: CpuCallback error calling callback: Traceback (most recent call last):\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 784, in _wrapped_callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 223, in _callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 95, in pure_callback_impl\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 70, in __call__\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/equinox/_errors.py"", line 88, in raises\n_EquinoxRuntimeError: The maximum number of solver steps was reached. Try increasing `max_steps`.\n\n\n--------------------\nAn error occurred during the runtime of your JAX program! Unfortunately you do not appear to be using `equinox.filter_jit` (perhaps you are using `jax.jit` instead?) and so further information about the error cannot be displayed. (Probably you are seeing a very large but uninformative error message right now.) Please wrap your program with `equinox.filter_jit`.\n--------------------\n')",,,,,,,,,,,0.6344029599584596,0.6871258689790153
