mode,trial,x0trial,ok_run,pre_max,post_max,mse,wall_s,err,Gamma_p,Gamma_n,K_e,R0,sDn,sDp,sDe,gn,gp,ge,xn0,xp0
free,28,15,1,0.2450577101364857,0.0006641189039715556,2.759155498836614e-09,31.481595516204834,,2001.5284690762603,2.0450411708739275e-10,0.37915895169792413,0.009853478104991665,1.0508696287092487,0.9342698747616627,1.0714320535408848,0.14461611967404947,1.0643530852242937,0.9227742457985727,0.08114130477792507,0.264880584553653
free,28,11,1,0.43773535170574185,0.0013012896180377709,1.3811983276801335e-08,24.90764021873474,,342.6268223820958,1.2409354532986575e-07,0.5563922211560517,0.011448007810503117,1.0185784179877304,1.0479543221343923,0.9417498719047928,0.3086357409519113,0.9442756759755768,1.1007192874685119,0.3087618790330528,0.9292270328385032
free,28,6,1,0.2895297137222297,0.000831537659061965,1.383011389776574e-08,32.6208815574646,,1108.1905105710778,1.6200305651835942e-10,0.40616794186661004,0.013085440042944407,1.0986042461474774,0.9527484694083418,1.0777280556438107,0.8843935338506945,1.072608691145972,0.9224027048312048,0.2778622480655103,0.22299863563340894
free,28,2,1,1.9970282254683216,0.0009917098169793803,1.450493607398597e-08,30.99084210395813,,0.2630446864973866,0.8296744756818886,1.2960970702454988,0.007158389853331936,1.3444679230523489,0.9976769438960363,0.9598859766950466,0.18291880358308923,1.0256535629085257,1.149426625384445,0.6271182410759883,0.09205303705265085
free,28,14,1,0.15069531741571218,0.00047755370397162267,1.6361433168841257e-08,26.44999861717224,,17685.10377904451,7.142536844988105e-09,0.2989578049508502,0.008317197610088279,1.2017152809930485,1.681687761099801,0.9726091499449258,0.4832239814271834,0.11957799009085483,0.9396354686539116,0.15670546003421662,0.6141724198393967
free,28,12,1,0.23395929947971617,0.0008482159842166936,2.2745084647914384e-08,32.291682958602905,,1414.3473201831227,2.4287906290358396e-10,0.39605041197187174,0.011126539409125457,1.1412320234274873,0.929207343313173,1.068101218688124,0.034879276639773416,1.0236097540889428,0.9255333308699197,0.0652505350352442,0.30504743611801516
free,28,7,1,0.2889428894016195,0.001885554277951229,2.7470258185216734e-08,32.11800026893616,,5.479553408775539,1.5200176537643645e-10,0.849790810512292,0.012345677476033634,1.030698244445365,0.9977933931666167,0.9666724047886659,0.8928298628055718,1.0107040747389668,1.0368652921113368,0.2830522034933002,0.11380648618059162
free,28,13,1,2.110629580167199,0.0021182623214581753,3.043299980673634e-08,60.74799084663391,,2403855464.268087,0.5381277798415341,18.076287717954095,1.1114127125898613e-05,0.8331003314827328,1.0099244408991497,36.929487164807405,1.16650675753343,0.8313315006844858,99.32673372440419,0.7933528596764842,0.053244891975471255
free,28,0,1,0.23209233964029607,0.0022814796258092684,3.553613325302004e-08,32.505354166030884,,1.130816856981185,2.0818031911042136e-10,1.0177614683895033,0.009383908377490082,1.2807449564375972,1.001294552798983,0.9664181778373137,0.012001564259498635,0.955535145472096,1.032591907975462,0.06273721724541027,0.2944909590576774
free,28,3,1,0.27702366219602936,0.001757205776991455,3.6227431098039636e-08,31.324861526489258,,4.416274496214277,1.5962861902257276e-10,0.85546004545523,0.011164472586925881,1.1005399480479985,0.9914813942332759,0.9887894694274226,0.41769881675062404,1.0173032451132906,1.0176683643380666,0.3202206134925664,0.20762380368037436
free,28,4,1,0.4291305498883755,0.001282892870259289,3.701541668183929e-08,25.8098361492157,,375.7061457879348,1.0704232445872915e-07,0.52241369647466,0.010208144532979175,1.065661669264238,1.0531837238603696,0.9634161515051148,0.9421463613265877,0.9379211739060017,1.0451262025303814,0.2566504958680684,0.9058690423193186
free,28,5,1,0.2901806015439128,0.0026210558312325105,4.7732613474283374e-08,31.4000985622406,,0.7039758160069821,1.4173956787700672e-10,1.1176411943988678,0.012941621324178748,1.002335843310634,1.0032479677138506,0.9344368041962927,1.0079922379788133,0.9975573805310618,1.0726274085442675,0.24676057127844186,0.2639412967088093
free,28,10,1,0.3525006363594425,0.003080571375145169,7.024399651292562e-08,27.810662746429443,,26.319053755265696,4.059749152007059e-08,0.8505778664462904,0.006125865343643566,1.1465780412799784,1.9798149820192936,0.7514230437125595,0.3441908040520755,0.00048381761637723066,1.2499183711082003,0.15811538541414483,0.676336817659398
free,28,8,1,2.116561638757549,0.007721338176477133,3.826342829367798e-07,270.7775900363922,,14360146512.936367,7.962093479259338,7.449250748905573,4.241244442235153e-06,0.8159043195141663,1.2591608680744635,2.322497909175419,1.369607519523068,0.7455011912884589,13.386279561737302,0.8120197635893551,0.35301502865160694
free,28,1,0,inf,inf,inf,105.79604840278625,"ValueError('INTERNAL: CpuCallback error calling callback: Traceback (most recent call last):\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 784, in _wrapped_callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 223, in _callback\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 95, in pure_callback_impl\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/jax/_src/callback.py"", line 70, in __call__\n  File ""/home/onyero.ofuzim/venvs/jaxsys/lib/python3.12/site-packages/equinox/_errors.py"", line 88, in raises\n_EquinoxRuntimeError: The maximum number of solver steps was reached. Try increasing `max_steps`.\n\n\n--------------------\nAn error occurred during the runtime of your JAX program! Unfortunately you do not appear to be using `equinox.filter_jit` (perhaps you are using `jax.jit` instead?) and so further information about the error cannot be displayed. (Probably you are seeing a very large but uninformative error message right now.) Please wrap your program with `equinox.filter_jit`.\n--------------------\n')",,,,,,,,,,,0.8581814014519659,0.5850182219710258
